precinct,year,race,party,candidate,votes
Abbottstown,2024,Presidential Electors,DEM,HARRIS and WALZ,150
Abbottstown,2024,Presidential Electors,REP,TRUMP and VANCE,350
Abbottstown,2024,Presidential Electors,LIB,OLIVER and TER MAAT,4
Abbottstown,2024,Presidential Electors,GNP,STEIN and WARE,3
Abbottstown,2024,United States Senator,DEM,ROBERT P CASEY JR,149
Abbottstown,2024,United States Senator,REP,DAVE MCCORMICK,329
Abbottstown,2024,United States Senator,LIB,JOHN C THOMAS,13
Abbottstown,2024,United States Senator,GNP,LEILA HAZOU,9
Abbottstown,2024,United States Senator,CST,MARTY SELKER,3
Abbottstown,2024,Attorney General,DEM,EUGENE DEPASQUALE,135
Abbottstown,2024,Attorney General,REP,DAVE SUNDAY,348
Abbottstown,2024,Attorney General,LIB,ROBERT COWBURN,13
Abbottstown,2024,Attorney General,GNP,RICHARD L WEISS,3
Abbottstown,2024,Attorney General,CST,JUSTIN L MAGILL,2
Abbottstown,2024,Attorney General,FWD,ERIC L SETTLE,1
Abbottstown,2024,Auditor General,DEM,MALCOLM KENYATTA,130
Abbottstown,2024,Auditor General,REP,TIM DEFOOR,343
Abbottstown,2024,Auditor General,LIB,REECE SMITH,17
Abbottstown,2024,Auditor General,ASP,ERIC K ANTON,1
Abbottstown,2024,Auditor General,CST,BOB GOODRICH,8
Abbottstown,2024,State Treasurer,DEM,ERIN MCCLELLAND,123
Abbottstown,2024,State Treasurer,REP,STACY GARRITY,344
Abbottstown,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,14
Abbottstown,2024,State Treasurer,CST,TROY BOWMAN,6
Abbottstown,2024,State Treasurer,FWD,CHRIS FOSTER,5
Abbottstown,2024,Representative in Congress,DEM,BETH FARNHAM,149
Abbottstown,2024,Representative in Congress,REP,JOHN JOYCE,352
Abbottstown,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,151
Abbottstown,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,345
Abbottstown,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,417
Arendtsville,2024,Presidential Electors,DEM,HARRIS and WALZ,164
Arendtsville,2024,Presidential Electors,REP,TRUMP and VANCE,273
Arendtsville,2024,Presidential Electors,LIB,OLIVER and TER MAAT,1
Arendtsville,2024,Presidential Electors,GNP,STEIN and WARE,1
Arendtsville,2024,United States Senator,DEM,ROBERT P CASEY JR,165
Arendtsville,2024,United States Senator,REP,DAVE MCCORMICK,265
Arendtsville,2024,United States Senator,LIB,JOHN C THOMAS,4
Arendtsville,2024,United States Senator,GNP,LEILA HAZOU,3
Arendtsville,2024,United States Senator,CST,MARTY SELKER,2
Arendtsville,2024,Attorney General,DEM,EUGENE DEPASQUALE,149
Arendtsville,2024,Attorney General,REP,DAVE SUNDAY,272
Arendtsville,2024,Attorney General,LIB,ROBERT COWBURN,4
Arendtsville,2024,Attorney General,GNP,RICHARD L WEISS,3
Arendtsville,2024,Attorney General,CST,JUSTIN L MAGILL,7
Arendtsville,2024,Attorney General,FWD,ERIC L SETTLE,3
Arendtsville,2024,Auditor General,DEM,MALCOLM KENYATTA,141
Arendtsville,2024,Auditor General,REP,TIM DEFOOR,277
Arendtsville,2024,Auditor General,LIB,REECE SMITH,11
Arendtsville,2024,Auditor General,ASP,ERIC K ANTON,2
Arendtsville,2024,Auditor General,CST,BOB GOODRICH,4
Arendtsville,2024,State Treasurer,DEM,ERIN MCCLELLAND,136
Arendtsville,2024,State Treasurer,REP,STACY GARRITY,285
