precinct,year,race,party,candidate,votes
ALIQUIPPA 1,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,91
ALIQUIPPA 1,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,97
ALIQUIPPA 1,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,1
ALIQUIPPA 1,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,0
ALIQUIPPA 1,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,100
ALIQUIPPA 1,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,79
ALIQUIPPA 1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,2
ALIQUIPPA 1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
ALIQUIPPA 1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
ALIQUIPPA 1,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,96
ALIQUIPPA 1,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,78
ALIQUIPPA 1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,0
ALIQUIPPA 1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
ALIQUIPPA 1,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,2
ALIQUIPPA 1,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,0
ALIQUIPPA 1,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,90
ALIQUIPPA 1,2024,AUDITOR GENERAL,REP,TIM DEFOOR,83
ALIQUIPPA 1,2024,AUDITOR GENERAL,LIB,REECE SMITH,4
ALIQUIPPA 1,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,2
ALIQUIPPA 1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,2
ALIQUIPPA 1,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,92
ALIQUIPPA 1,2024,STATE TREASURER,REP,STACY GARRITY,82
ALIQUIPPA 1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,4
ALIQUIPPA 1,2024,STATE TREASURER,CON,TROY BOWMAN,3
ALIQUIPPA 1,2024,STATE TREASURER,FWD,CHRIS FOSTER,0
ALIQUIPPA 1,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,105
ALIQUIPPA 1,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,78
ALIQUIPPA 1,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,DEM,KATE LENNEN,90
ALIQUIPPA 1,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,REP,ELDER VOGEL JR,90
ALIQUIPPA 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,DEM,ROBERT F MATZIE,115
ALIQUIPPA 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,REP,MICHAEL J PERICH,70
ALIQUIPPA 2,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,352
ALIQUIPPA 2,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,42
ALIQUIPPA 2,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,1
ALIQUIPPA 2,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,3
ALIQUIPPA 2,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,354
ALIQUIPPA 2,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,38
ALIQUIPPA 2,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,1
ALIQUIPPA 2,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,3
ALIQUIPPA 2,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
ALIQUIPPA 2,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,356
ALIQUIPPA 2,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,32
ALIQUIPPA 2,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,0
ALIQUIPPA 2,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,1
ALIQUIPPA 2,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,4
ALIQUIPPA 2,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,0
ALIQUIPPA 2,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,358
ALIQUIPPA 2,2024,AUDITOR GENERAL,REP,TIM DEFOOR,32
ALIQUIPPA 2,2024,AUDITOR GENERAL,LIB,REECE SMITH,0
ALIQUIPPA 2,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,1
ALIQUIPPA 2,2024,AUDITOR GENERAL,CST,BOB GOODRICH,2
ALIQUIPPA 2,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,351
ALIQUIPPA 2,2024,STATE TREASURER,REP,STACY GARRITY,36
ALIQUIPPA 2,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,0
ALIQUIPPA 2,2024,STATE TREASURER,CON,TROY BOWMAN,1
ALIQUIPPA 2,2024,STATE TREASURER,FWD,CHRIS FOSTER,4
ALIQUIPPA 2,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,364
ALIQUIPPA 2,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,32
ALIQUIPPA 2,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,DEM,KATE LENNEN,356
ALIQUIPPA 2,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,REP,ELDER VOGEL JR,36
ALIQUIPPA 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,DEM,ROBERT F MATZIE,364
ALIQUIPPA 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 16TH DISTRICT,REP,MICHAEL J PERICH,32
ALIQUIPPA 3,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,196
