precinct,year,race,party,candidate,votes
Reading 1-1,2024,Presidential Electors,DEM,Kamala D. Harris,365
Reading 1-1,2024,Presidential Electors,REP,Donald J. Trump,140
Reading 1-1,2024,Presidential Electors,LIB,Chase Oliver,2
Reading 1-1,2024,Presidential Electors,GRN,Jill Stein,3
Reading 1-1,2024,United States Senator,DEM,"Robert P. Casey, Jr.",325
Reading 1-1,2024,United States Senator,REP,Dave McCormick,110
Reading 1-1,2024,United States Senator,LIB,John C. Thomas,8
Reading 1-1,2024,United States Senator,GRN,Leila Hazou,13
Reading 1-1,2024,United States Senator,CST,Marty Selker,3
Reading 1-1,2024,Attorney General,DEM,Eugene DePasquale,318
Reading 1-1,2024,Attorney General,REP,Dave Sunday,105
Reading 1-1,2024,Attorney General,LIB,Robert Cowburn,12
Reading 1-1,2024,Attorney General,GRN,Richard L. Weiss,5
Reading 1-1,2024,Attorney General,CST,Justin L. Magill,5
Reading 1-1,2024,Attorney General,FWD,Eric L. Settle,3
Reading 1-1,2024,Auditor General,DEM,Malcolm Kenyatta,317
Reading 1-1,2024,Auditor General,REP,Tim DeFoor,109
Reading 1-1,2024,Auditor General,LIB,Reece Smith,11
Reading 1-1,2024,Auditor General,ASP,Eric K. Anton,8
Reading 1-1,2024,Auditor General,CST,Bob Goodrich,5
Reading 1-1,2024,State Treasurer,DEM,Erin McClelland,306
Reading 1-1,2024,State Treasurer,REP,Stacy Garrity,106
Reading 1-1,2024,State Treasurer,LIB,Nickolas Ciesielski,11
Reading 1-1,2024,State Treasurer,CST,Troy Bowman,9
Reading 1-1,2024,State Treasurer,FWD,Chris Foster,5
Reading 1-1,2024,Representative in Congress 6th District,DEM,Chrissy Houlahan,365
Reading 1-1,2024,Representative in Congress 6th District,REP,Neil Young,110
Reading 1-1,2024,Senator in the General Assembly 11th District,DEM,Judy Schwank,368
Reading 1-1,2024,Senator in the General Assembly 11th District,REP,Lisha L. Rowe,99
Reading 1-1,2024,Representative in the General Assembly 127th District,DEM,Manny Guzman,392
Reading 2-1,2024,Presidential Electors,DEM,Kamala D. Harris,259
Reading 2-1,2024,Presidential Electors,REP,Donald J. Trump,99
Reading 2-1,2024,Presidential Electors,LIB,Chase Oliver,2
Reading 2-1,2024,Presidential Electors,GRN,Jill Stein,2
Reading 2-1,2024,United States Senator,DEM,"Robert P. Casey, Jr.",239
Reading 2-1,2024,United States Senator,REP,Dave McCormick,77
Reading 2-1,2024,United States Senator,LIB,John C. Thomas,5
Reading 2-1,2024,United States Senator,GRN,Leila Hazou,12
Reading 2-1,2024,United States Senator,CST,Marty Selker,5
Reading 2-1,2024,Attorney General,DEM,Eugene DePasquale,228
Reading 2-1,2024,Attorney General,REP,Dave Sunday,66
Reading 2-1,2024,Attorney General,LIB,Robert Cowburn,6
Reading 2-1,2024,Attorney General,GRN,Richard L. Weiss,6
Reading 2-1,2024,Attorney General,CST,Justin L. Magill,4
Reading 2-1,2024,Attorney General,FWD,Eric L. Settle,4
Reading 2-1,2024,Auditor General,DEM,Malcolm Kenyatta,239
Reading 2-1,2024,Auditor General,REP,Tim DeFoor,73
