precinct,year,race,party,candidate,votes
Altoona Ward 1,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,219
Altoona Ward 1,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,265
Altoona Ward 1,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,1
Altoona Ward 1,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,6
Altoona Ward 1,2024,PRESIDENTIAL ELECTORS,Write-In,Write-In Totals,2
Altoona Ward 1,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,208
Altoona Ward 1,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,257
Altoona Ward 1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,16
Altoona Ward 1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,9
Altoona Ward 1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
Altoona Ward 1,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,205
Altoona Ward 1,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,257
Altoona Ward 1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,7
Altoona Ward 1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,8
Altoona Ward 1,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
Altoona Ward 1,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,4
Altoona Ward 1,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,198
Altoona Ward 1,2024,AUDITOR GENERAL,REP,TIM DEFOOR,253
Altoona Ward 1,2024,AUDITOR GENERAL,LIB,REECE SMITH,11
Altoona Ward 1,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,7
Altoona Ward 1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,11
Altoona Ward 1,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,195
Altoona Ward 1,2024,STATE TREASURER,REP,STACY GARRITY,265
Altoona Ward 1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,8
Altoona Ward 1,2024,STATE TREASURER,CST,TROY BOWMAN,5
Altoona Ward 1,2024,STATE TREASURER,FWD,CHRIS FOSTER,7
Altoona Ward 1,2024,REPRESENTATIVE IN CONGRESS,DEM,BETH FARNHAM,204
Altoona Ward 1,2024,REPRESENTATIVE IN CONGRESS,REP,JOHN JOYCE,283
Altoona Ward 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 79TH DISTRICT,REP,LOU SCHMITT,388
Altoona Ward 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 79TH DISTRICT,Write-In,Write-In Totals,15
"Altoona Ward 2, Precinct 1",2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,114
"Altoona Ward 2, Precinct 1",2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,168
"Altoona Ward 2, Precinct 1",2024,PRESIDENTIAL ELECTORS,Write-In,Write-In Totals,1
"Altoona Ward 2, Precinct 1",2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,119
