precinct,year,race,party,candidate,votes
ADAMS TWP 1,2024,PRESIDENTIAL ELECTORS,DONALD J TRUMP,Donald J. Trump,1888
ADAMS TWP 1,2024,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,Kamala D. Harris,1397
ADAMS TWP 1,2024,PRESIDENTIAL ELECTORS,JILL STEIN,Jill Stein,11
ADAMS TWP 1,2024,PRESIDENTIAL ELECTORS,CHASE OLIVER,Chase Oliver,10
ADAMS TWP 1,2024,UNITED STATES SENATOR,DAVE MCCORMICK,Dave McCormick,1881
ADAMS TWP 1,2024,UNITED STATES SENATOR,ROBERT P CASEY JR,Robert P. Casey Jr.,1376
ADAMS TWP 1,2024,UNITED STATES SENATOR,JOHN C THOMAS,John C. Thomas,26
ADAMS TWP 1,2024,UNITED STATES SENATOR,LEILA HAZOU,Leila Hazou,18
ADAMS TWP 1,2024,UNITED STATES SENATOR,MARTY SELKER,Marty Selker,5
ADAMS TWP 1,2024,ATTORNEY GENERAL,DAVE SUNDAY,Dave Sunday,1889
ADAMS TWP 1,2024,ATTORNEY GENERAL,EUGENE DEPASQUALE,Eugene DePasquale,1317
ADAMS TWP 1,2024,ATTORNEY GENERAL,ROBERT COWBURN,Robert Cowburn,31
ADAMS TWP 1,2024,ATTORNEY GENERAL,RICHARD L WEISS,Richard L. Weiss,16
ADAMS TWP 1,2024,ATTORNEY GENERAL,ERIC L SETTLE,Eric L. Settle,10
ADAMS TWP 1,2024,ATTORNEY GENERAL,JUSTIN L MAGILL,Justin L Magill,3
ADAMS TWP 1,2024,AUDITOR GENERAL,TIM DEFOOR,Tim DeFoor,1941
ADAMS TWP 1,2024,AUDITOR GENERAL,MALCOLM KENYATTA,Malcolm Kenyatta,1230
ADAMS TWP 1,2024,AUDITOR GENERAL,REECE SMITH,Reece Smith,57
ADAMS TWP 1,2024,AUDITOR GENERAL,BOB GOODRICH,Bob Goodrich,11
ADAMS TWP 1,2024,AUDITOR GENERAL,ERIC K ANTON,Eric K Anton,3
ADAMS TWP 1,2024,STATE TREASURER,STACY GARRITY,Stacy Garrity,1972
ADAMS TWP 1,2024,STATE TREASURER,ERIN MCCLELLAND,Erin McClelland,1234
ADAMS TWP 1,2024,STATE TREASURER,NICKOLAS CIESIELSKI,Nickolas Ciesielski,33
ADAMS TWP 1,2024,STATE TREASURER,CHRIS FOSTER,Chris Foster,7
ADAMS TWP 1,2024,STATE TREASURER,TROY BOWMAN,Troy Bowman,5
ADAMS TWP 1,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,MIKE KELLY,Mike Kelly,2003
ADAMS TWP 1,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,PRESTON NOURI,Preston Nouri,1263
ADAMS TWP 1,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,ELDER VOGEL JR,Elder Vogel Jr,1838
ADAMS TWP 1,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,KATE LENNEN,Kate Lennen,1416
ADAMS TWP 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,STEPHENIE SCIALABBA,Stephenie Scialabba,2014
ADAMS TWP 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,ROBERT VIGUE,Robert Vigue,1222
ADAMS TWP 2,2024,PRESIDENTIAL ELECTORS,DONALD J TRUMP,Donald J. Trump,1337
ADAMS TWP 2,2024,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,Kamala D. Harris,671
ADAMS TWP 2,2024,PRESIDENTIAL ELECTORS,CHASE OLIVER,Chase Oliver,7
ADAMS TWP 2,2024,PRESIDENTIAL ELECTORS,JILL STEIN,Jill Stein,5
ADAMS TWP 2,2024,UNITED STATES SENATOR,DAVE MCCORMICK,Dave McCormick,1327
ADAMS TWP 2,2024,UNITED STATES SENATOR,ROBERT P CASEY JR,Robert P. Casey Jr.,654
ADAMS TWP 2,2024,UNITED STATES SENATOR,JOHN C THOMAS,John C. Thomas,21
ADAMS TWP 2,2024,UNITED STATES SENATOR,LEILA HAZOU,Leila Hazou,11
ADAMS TWP 2,2024,UNITED STATES SENATOR,MARTY SELKER,Marty Selker,1
ADAMS TWP 2,2024,ATTORNEY GENERAL,DAVE SUNDAY,Dave Sunday,1337
ADAMS TWP 2,2024,ATTORNEY GENERAL,EUGENE DEPASQUALE,Eugene DePasquale,618
ADAMS TWP 2,2024,ATTORNEY GENERAL,ROBERT COWBURN,Robert Cowburn,20
ADAMS TWP 2,2024,ATTORNEY GENERAL,JUSTIN L MAGILL,Justin L Magill,10
ADAMS TWP 2,2024,ATTORNEY GENERAL,RICHARD L WEISS,Richard L. Weiss,6
ADAMS TWP 2,2024,ATTORNEY GENERAL,ERIC L SETTLE,Eric L. Settle,3
ADAMS TWP 2,2024,AUDITOR GENERAL,TIM DEFOOR,TIM DEFOOR,1356
ADAMS TWP 2,2024,AUDITOR GENERAL,MALCOLM KENYATTA,MALCOLM KENYATTA,567
ADAMS TWP 2,2024,AUDITOR GENERAL,REECE SMITH,REECE SMITH,36
ADAMS TWP 2,2024,AUDITOR GENERAL,BOB GOODRICH,BOB GOODRICH,11
ADAMS TWP 2,2024,AUDITOR GENERAL,ERIC K ANTON,ERIC K ANTON,4
ADAMS TWP 2,2024,STATE TREASURER,STACY GARRITY,STACY GARRITY,1365
ADAMS TWP 2,2024,STATE TREASURER,ERIN MCCLELLAND,ERIN MCCLELLAND,574
ADAMS TWP 2,2024,STATE TREASURER,NICKOLAS CIESIELSKI,NICKOLAS CIESIELSKI,28
ADAMS TWP 2,2024,STATE TREASURER,TROY BOWMAN,TROY BOWMAN,7
ADAMS TWP 2,2024,STATE TREASURER,CHRIS FOSTER,CHRIS FOSTER,5
ADAMS TWP 2,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,MIKE KELLY,MIKE KELLY,1405
ADAMS TWP 2,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,PRESTON NOURI,PRESTON NOURI,596
ADAMS TWP 2,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,ELDER VOGEL JR,ELDER VOGEL JR,1349
ADAMS TWP 2,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,KATE LENNEN,KATE LENNEN,635
ADAMS TWP 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,STEPHENIE SCIALABBA,STEPHENIE SCIALABBA,1406
ADAMS TWP 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,ROBERT VIGUE,ROBERT VIGUE,580
ADAMS TWP 3,2024,PRESIDENTIAL ELECTORS,DONALD J TRUMP,DONALD J TRUMP,1784
ADAMS TWP 3,2024,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,KAMALA D HARRIS,821
ADAMS TWP 3,2024,PRESIDENTIAL ELECTORS,JILL STEIN,JILL STEIN,11
ADAMS TWP 3,2024,PRESIDENTIAL ELECTORS,CHASE OLIVER,CHASE OLIVER,10
ADAMS TWP 3,2024,UNITED STATES SENATOR,DAVE MCCORMICK,DAVE MCCORMICK,1783
ADAMS TWP 3,2024,UNITED STATES SENATOR,ROBERT P CASEY JR,ROBERT P CASEY JR,807
ADAMS TWP 3,2024,UNITED STATES SENATOR,JOHN C THOMAS,JOHN C THOMAS,16
ADAMS TWP 3,2024,UNITED STATES SENATOR,LEILA HAZOU,LEILA HAZOU,9
ADAMS TWP 3,2024,UNITED STATES SENATOR,MARTY SELKER,MARTY SELKER,5
ADAMS TWP 3,2024,ATTORNEY GENERAL,DAVE SUNDAY,DAVE SUNDAY,1814
ADAMS TWP 3,2024,ATTORNEY GENERAL,EUGENE DEPASQUALE,EUGENE DEPASQUALE,730
ADAMS TWP 3,2024,ATTORNEY GENERAL,ROBERT COWBURN,ROBERT COWBURN,21
ADAMS TWP 3,2024,ATTORNEY GENERAL,RICHARD L WEISS,RICHARD L WEISS,10
ADAMS TWP 3,2024,ATTORNEY GENERAL,JUSTIN L MAGILL,JUSTIN L MAGILL,9
ADAMS TWP 3,2024,ATTORNEY GENERAL,ERIC L SETTLE,ERIC L SETTLE,6
ADAMS TWP 3,2024,AUDITOR GENERAL,TIM DEFOOR,TIM DEFOOR,1838
ADAMS TWP 3,2024,AUDITOR GENERAL,MALCOLM KENYATTA,MALCOLM KENYATTA,681
ADAMS TWP 3,2024,AUDITOR GENERAL,REECE SMITH,REECE SMITH,35
ADAMS TWP 3,2024,AUDITOR GENERAL,BOB GOODRICH,BOB GOODRICH,11
ADAMS TWP 3,2024,AUDITOR GENERAL,ERIC K ANTON,ERIC K ANTON,4
ADAMS TWP 3,2024,STATE TREASURER,STACY GARRITY,STACY GARRITY,1857
ADAMS TWP 3,2024,STATE TREASURER,ERIN MCCLELLAND,ERIN MCCLELLAND,686
ADAMS TWP 3,2024,STATE TREASURER,NICKOLAS CIESIELSKI,NICKOLAS CIESIELSKI,25
ADAMS TWP 3,2024,STATE TREASURER,CHRIS FOSTER,CHRIS FOSTER,6
ADAMS TWP 3,2024,STATE TREASURER,TROY BOWMAN,TROY BOWMAN,3
ADAMS TWP 3,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,MIKE KELLY,MIKE KELLY,1878
ADAMS TWP 3,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,PRESTON NOURI,PRESTON NOURI,709
ADAMS TWP 3,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,ELDER VOGEL JR,ELDER VOGEL JR,1793
ADAMS TWP 3,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,KATE LENNEN,KATE LENNEN,782
ADAMS TWP 3,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,STEPHENIE SCIALABBA,STEPHENIE SCIALABBA,1866
ADAMS TWP 3,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,ROBERT VIGUE,ROBERT VIGUE,703
ADAMS TWP 4,2024,PRESIDENTIAL ELECTORS,DONALD J TRUMP,DONALD J TRUMP,934
ADAMS TWP 4,2024,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,KAMALA D HARRIS,516
ADAMS TWP 4,2024,PRESIDENTIAL ELECTORS,CHASE OLIVER,CHASE OLIVER,5
ADAMS TWP 4,2024,PRESIDENTIAL ELECTORS,JILL STEIN,JILL STEIN,4
ADAMS TWP 4,2024,UNITED STATES SENATOR,DAVE MCCORMICK,DAVE MCCORMICK,935
ADAMS TWP 4,2024,UNITED STATES SENATOR,ROBERT P CASEY JR,ROBERT P CASEY JR,510
ADAMS TWP 4,2024,UNITED STATES SENATOR,JOHN C THOMAS,JOHN C THOMAS,7
ADAMS TWP 4,2024,UNITED STATES SENATOR,MARTY SELKER,MARTY SELKER,6
ADAMS TWP 4,2024,UNITED STATES SENATOR,LEILA HAZOU,LEILA HAZOU,5
ADAMS TWP 4,2024,ATTORNEY GENERAL,DAVE SUNDAY,DAVE SUNDAY,933
ADAMS TWP 4,2024,ATTORNEY GENERAL,EUGENE DEPASQUALE,EUGENE DEPASQUALE,490
ADAMS TWP 4,2024,ATTORNEY GENERAL,ROBERT COWBURN,ROBERT COWBURN,18
ADAMS TWP 4,2024,ATTORNEY GENERAL,RICHARD L WEISS,RICHARD L WEISS,5
ADAMS TWP 4,2024,ATTORNEY GENERAL,ERIC L SETTLE,ERIC L SETTLE,4
ADAMS TWP 4,2024,ATTORNEY GENERAL,JUSTIN L MAGILL,JUSTIN L MAGILL,1
ADAMS TWP 4,2024,AUDITOR GENERAL,TIM DEFOOR,TIM DEFOOR,957
ADAMS TWP 4,2024,AUDITOR GENERAL,MALCOLM KENYATTA,MALCOLM KENYATTA,438
ADAMS TWP 4,2024,AUDITOR GENERAL,REECE SMITH,REECE SMITH,19
ADAMS TWP 4,2024,AUDITOR GENERAL,BOB GOODRICH,BOB GOODRICH,10
ADAMS TWP 4,2024,AUDITOR GENERAL,ERIC K ANTON,ERIC K ANTON,4
ADAMS TWP 4,2024,STATE TREASURER,STACY GARRITY,STACY GARRITY,975
ADAMS TWP 4,2024,STATE TREASURER,ERIN MCCLELLAND,ERIN MCCLELLAND,441
ADAMS TWP 4,2024,STATE TREASURER,NICKOLAS CIESIELSKI,NICKOLAS CIESIELSKI,13
ADAMS TWP 4,2024,STATE TREASURER,CHRIS FOSTER,CHRIS FOSTER,8
ADAMS TWP 4,2024,STATE TREASURER,TROY BOWMAN,TROY BOWMAN,3
ADAMS TWP 4,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,MIKE KELLY,MIKE KELLY,985
ADAMS TWP 4,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,PRESTON NOURI,PRESTON NOURI,456
ADAMS TWP 4,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,ELDER VOGEL JR,ELDER VOGEL JR,947
ADAMS TWP 4,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,KATE LENNEN,KATE LENNEN,490
ADAMS TWP 4,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,STEPHENIE SCIALABBA,STEPHENIE SCIALABBA,986
ADAMS TWP 4,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,ROBERT VIGUE,ROBERT VIGUE,448
ADAMS TWP 5,2024,PRESIDENTIAL ELECTORS,DONALD J TRUMP,DONALD J TRUMP,832
ADAMS TWP 5,2024,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,KAMALA D HARRIS,437
ADAMS TWP 5,2024,PRESIDENTIAL ELECTORS,CHASE OLIVER,CHASE OLIVER,4
ADAMS TWP 5,2024,UNITED STATES SENATOR,DAVE MCCORMICK,DAVE MCCORMICK,859
ADAMS TWP 5,2024,UNITED STATES SENATOR,ROBERT P CASEY JR,ROBERT P CASEY JR,407
ADAMS TWP 5,2024,UNITED STATES SENATOR,JOHN C THOMAS,JOHN C THOMAS,2
ADAMS TWP 5,2024,UNITED STATES SENATOR,MARTY SELKER,MARTY SELKER,2
ADAMS TWP 5,2024,UNITED STATES SENATOR,LEILA HAZOU,LEILA HAZOU,1
ADAMS TWP 5,2024,ATTORNEY GENERAL,DAVE SUNDAY,DAVE SUNDAY,858
ADAMS TWP 5,2024,ATTORNEY GENERAL,EUGENE DEPASQUALE,EUGENE DEPASQUALE,383
ADAMS TWP 5,2024,ATTORNEY GENERAL,ROBERT COWBURN,ROBERT COWBURN,13
ADAMS TWP 5,2024,ATTORNEY GENERAL,RICHARD L WEISS,RICHARD L WEISS,2
ADAMS TWP 5,2024,ATTORNEY GENERAL,ERIC L SETTLE,ERIC L SETTLE,2
ADAMS TWP 5,2024,ATTORNEY GENERAL,JUSTIN L MAGILL,JUSTIN L MAGILL,1
ADAMS TWP 5,2024,AUDITOR GENERAL,REPUBLICAN,TIM DEFOOR,889
ADAMS TWP 5,2024,AUDITOR GENERAL,DEMOCRATIC,MALCOLM KENYATTA,339
ADAMS TWP 5,2024,AUDITOR GENERAL,LIBERTARIAN,REECE SMITH,16
ADAMS TWP 5,2024,AUDITOR GENERAL,GREEN,BOB GOODRICH,5
ADAMS TWP 5,2024,AUDITOR GENERAL,INDEPENDENT,ERIC K ANTON,0
ADAMS TWP 5,2024,STATE TREASURER,REPUBLICAN,STACY GARRITY,887
ADAMS TWP 5,2024,STATE TREASURER,DEMOCRATIC,ERIN MCCLELLAND,343
ADAMS TWP 5,2024,STATE TREASURER,LIBERTARIAN,NICKOLAS CIESIELSKI,15
ADAMS TWP 5,2024,STATE TREASURER,GREEN,CHRIS FOSTER,4
ADAMS TWP 5,2024,STATE TREASURER,INDEPENDENT,TROY BOWMAN,1
ADAMS TWP 5,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,REPUBLICAN,MIKE KELLY,900
ADAMS TWP 5,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,DEMOCRATIC,PRESTON NOURI,362
ADAMS TWP 5,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,REPUBLICAN,ELDER VOGEL JR,859
ADAMS TWP 5,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH SENATORIAL DISTRICT,DEMOCRATIC,KATE LENNEN,397
ADAMS TWP 5,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,REPUBLICAN,STEPHENIE SCIALABBA,893
ADAMS TWP 5,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH LEGISLATIVE DISTRICT,DEMOCRATIC,ROBERT VIGUE,351
ALLEGHENY TWP,2024,PRESIDENTIAL ELECTORS,REPUBLICAN,DONALD J TRUMP,258
ALLEGHENY TWP,2024,PRESIDENTIAL ELECTORS,DEMOCRATIC,KAMALA D HARRIS,67
ALLEGHENY TWP,2024,PRESIDENTIAL ELECTORS,LIBERTARIAN,CHASE OLIVER,3
ALLEGHENY TWP,2024,PRESIDENTIAL ELECTORS,GREEN,JILL STEIN,1
ALLEGHENY TWP,2024,UNITED STATES SENATOR,REPUBLICAN,DAVE MCCORMICK,240
ALLEGHENY TWP,2024,UNITED STATES SENATOR,DEMOCRATIC,ROBERT P CASEY JR,74
ALLEGHENY TWP,2024,UNITED STATES SENATOR,LIBERTARIAN,MARTY SELKER,4
ALLEGHENY TWP,2024,UNITED STATES SENATOR,GREEN,JOHN C THOMAS,3
ALLEGHENY TWP,2024,UNITED STATES SENATOR,INDEPENDENT,LEILA HAZOU,3
ALLEGHENY TWP,2024,ATTORNEY GENERAL,REPUBLICAN,DAVE SUNDAY,249
ALLEGHENY TWP,2024,ATTORNEY GENERAL,DEMOCRATIC,EUGENE DEPASQUALE,65
ALLEGHENY TWP,2024,ATTORNEY GENERAL,LIBERTARIAN,ROBERT COWBURN,4
ALLEGHENY TWP,2024,ATTORNEY GENERAL,GREEN,RICHARD L WEISS,2
ALLEGHENY TWP,2024,ATTORNEY GENERAL,INDEPENDENT,JUSTIN L MAGILL,2
ALLEGHENY TWP,2024,AUDITOR GENERAL,REPUBLICAN,TIM DEFOOR,243
ALLEGHENY TWP,2024,AUDITOR GENERAL,DEMOCRATIC,MALCOLM KENYATTA,63
ALLEGHENY TWP,2024,AUDITOR GENERAL,LIBERTARIAN,REECE SMITH,5
ALLEGHENY TWP,2024,AUDITOR GENERAL,GREEN,BOB GOODRICH,4
ALLEGHENY TWP,2024,AUDITOR GENERAL,INDEPENDENT,ERIC K ANTON,3
ALLEGHENY TWP,2024,STATE TREASURER,REPUBLICAN,STACY GARRITY,246
ALLEGHENY TWP,2024,STATE TREASURER,DEMOCRATIC,ERIN MCCLELLAND,65
ALLEGHENY TWP,2024,STATE TREASURER,LIBERTARIAN,NICKOLAS CIESIELSKI,5
ALLEGHENY TWP,2024,STATE TREASURER,INDEPENDENT,TROY BOWMAN,5
ALLEGHENY TWP,2024,STATE TREASURER,GREEN,CHRIS FOSTER,1
ALLEGHENY TWP,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,REPUBLICAN,MIKE KELLY,261
ALLEGHENY TWP,2024,REPRESENTATIVE IN CONGRESS 16TH CONGRESSIONAL DISTRICT,DEMOCRATIC,PRESTON NOURI,62
ALLEGHENY TWP,2024,SENATOR IN THE GENERAL ASSEMBLY 21ST SENATORIAL DISTRICT,REPUBLICAN,SCOTT E HUTCHINSON,288
ALLEGHENY TWP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 17TH LEGISLATIVE DISTRICT,REPUBLICAN,TIM BONNER,288
BRADY TWP,2024,PRESIDENTIAL ELECTORS,DONALD J TRUMP,DONALD J TRUMP,501
BRADY TWP,2024,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,KAMALA D HARRIS,165
BRADY TWP,2024,PRESIDENTIAL ELECTORS,JILL STEIN,JILL STEIN,2
BRADY TWP,2024,PRESIDENTIAL ELECTORS,CHASE OLIVER,CHASE OLIVER,1
BRADY TWP,2024,UNITED STATES SENATOR,DAVE MCCORMICK,DAVE MCCORMICK,473
BRADY TWP,2024,UNITED STATES SENATOR,ROBERT P CASEY JR,ROBERT P CASEY JR,168
BRADY TWP,2024,UNITED STATES SENATOR,JOHN C THOMAS,JOHN C THOMAS,16
BRADY TWP,2024,UNITED STATES SENATOR,LEILA HAZOU,LEILA HAZOU,5
BRADY TWP,2024,UNITED STATES SENATOR,MARTY SELKER,MARTY SELKER,1
BRADY TWP,2024,ATTORNEY GENERAL,DAVE SUNDAY,DAVE SUNDAY,476
BRADY TWP,2024,ATTORNEY GENERAL,EUGENE DEPASQUALE,EUGENE DEPASQUALE,157
BRADY TWP,2024,ATTORNEY GENERAL,ROBERT COWBURN,ROBERT COWBURN,13
BRADY TWP,2024,ATTORNEY GENERAL,RICHARD L WEISS,RICHARD L WEISS,6
BRADY TWP,2024,ATTORNEY GENERAL,JUSTIN L MAGILL,JUSTIN L MAGILL,3
BRADY TWP,2024,ATTORNEY GENERAL,ERIC L SETTLE,ERIC L SETTLE,2
BRADY TWP,2024,AUDITOR GENERAL,TIM DEFOOR,TIM DEFOOR,474
BRADY TWP,2024,AUDITOR GENERAL,MALCOLM KENYATTA,MALCOLM KENYATTA,151
BRADY TWP,2024,AUDITOR GENERAL,REECE SMITH,REECE SMITH,15
BRADY TWP,2024,AUDITOR GENERAL,BOB GOODRICH,BOB GOODRICH,10
BRADY TWP,2024,AUDITOR GENERAL,ERIC K ANTON,ERIC K ANTON,3
