precinct,year,race,party,candidate,votes
BELLEFONTE NORTH,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,243
BELLEFONTE NORTH,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,152
BELLEFONTE NORTH,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
BELLEFONTE NORTH,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,0
BELLEFONTE NORTH,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,245
BELLEFONTE NORTH,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,146
BELLEFONTE NORTH,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,5
BELLEFONTE NORTH,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
BELLEFONTE NORTH,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
BELLEFONTE NORTH,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,228
BELLEFONTE NORTH,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,155
BELLEFONTE NORTH,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,5
BELLEFONTE NORTH,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
BELLEFONTE NORTH,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,3
BELLEFONTE NORTH,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
BELLEFONTE NORTH,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,227
BELLEFONTE NORTH,2024,AUDITOR GENERAL,REP,TIM DEFOOR,157
BELLEFONTE NORTH,2024,AUDITOR GENERAL,LIB,REECE SMITH,9
BELLEFONTE NORTH,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,0
BELLEFONTE NORTH,2024,AUDITOR GENERAL,CST,BOB GOODRICH,2
BELLEFONTE NORTH,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,217
BELLEFONTE NORTH,2024,STATE TREASURER,REP,STACY GARRITY,166
BELLEFONTE NORTH,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,8
BELLEFONTE NORTH,2024,STATE TREASURER,CST,TROY BOWMAN,3
BELLEFONTE NORTH,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
BELLEFONTE NORTH,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,229
BELLEFONTE NORTH,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,REP,GLENN GT THOMPSON,168
BELLEFONTE NORTH,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,DEM,WILLIAM MCGILL,237
BELLEFONTE NORTH,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,REP,CRIS DUSH,155
BELLEFONTE NORTH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171ST LEGISLATIVE DISTRICT,REP,KERRY A BENNINGHOFF,281
BELLEFONTE NORTHEAST,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,360
BELLEFONTE NORTHEAST,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,348
BELLEFONTE NORTHEAST,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
BELLEFONTE NORTHEAST,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,3
BELLEFONTE NORTHEAST,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,364
BELLEFONTE NORTHEAST,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,339
BELLEFONTE NORTHEAST,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,9
BELLEFONTE NORTHEAST,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
BELLEFONTE NORTHEAST,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
BELLEFONTE NORTHEAST,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,327
BELLEFONTE NORTHEAST,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,361
BELLEFONTE NORTHEAST,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,9
BELLEFONTE NORTHEAST,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,5
BELLEFONTE NORTHEAST,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,0
BELLEFONTE NORTHEAST,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
BELLEFONTE NORTHEAST,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,322
BELLEFONTE NORTHEAST,2024,AUDITOR GENERAL,REP,TIM DEFOOR,367
BELLEFONTE NORTHEAST,2024,AUDITOR GENERAL,LIB,REECE SMITH,10
BELLEFONTE NORTHEAST,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
BELLEFONTE NORTHEAST,2024,AUDITOR GENERAL,CST,BOB GOODRICH,3
BELLEFONTE NORTHEAST,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,318
BELLEFONTE NORTHEAST,2024,STATE TREASURER,REP,STACY GARRITY,360
BELLEFONTE NORTHEAST,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,12
BELLEFONTE NORTHEAST,2024,STATE TREASURER,CST,TROY BOWMAN,5
BELLEFONTE NORTHEAST,2024,STATE TREASURER,FWD,CHRIS FOSTER,2
BELLEFONTE NORTHEAST,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,328
BELLEFONTE NORTHEAST,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,REP,GLENN GT THOMPSON,384
BELLEFONTE NORTHEAST,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,DEM,WILLIAM MCGILL,341
BELLEFONTE NORTHEAST,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,REP,CRIS DUSH,355
BELLEFONTE NORTHEAST,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171ST LEGISLATIVE DISTRICT,REP,KERRY A BENNINGHOFF,543
BELLEFONTE SOUTH,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,288
BELLEFONTE SOUTH,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,207
