precinct,year,race,party,candidate,votes
005 Atglen,2024,Presidential Electors,DEM,Kamala D. Harris,322
005 Atglen,2024,Presidential Electors,REP,Donald J. Trump,409
005 Atglen,2024,Presidential Electors,LIB,Chase Oliver,0
005 Atglen,2024,Presidential Electors,GRN,Jill Stein,2
005 Atglen,2024,Presidential Electors,Not Assigned,Write-In Totals,1
005 Atglen,2024,United States Senator,DEM,"Robert P. Casey, Jr.",321
005 Atglen,2024,United States Senator,REP,Dave McCormick,398
005 Atglen,2024,United States Senator,LIB,John C. Thomas,10
005 Atglen,2024,United States Senator,GRN,Leila Hazou,2
005 Atglen,2024,United States Senator,CST,Marty Selker,4
005 Atglen,2024,United States Senator,Not Assigned,Write-In Totals,0
005 Atglen,2024,Attorney General,DEM,Eugene DePasquale,296
005 Atglen,2024,Attorney General,REP,Dave Sunday,420
005 Atglen,2024,Attorney General,LIB,Robert Cowburn,7
005 Atglen,2024,Attorney General,GRN,Richard L. Weiss,6
005 Atglen,2024,Attorney General,CST,Justin L. Magill,2
005 Atglen,2024,Attorney General,FWD,Eric L. Settle,2
005 Atglen,2024,Attorney General,Not Assigned,Write-In Totals,0
005 Atglen,2024,Auditor General,DEM,Malcolm Kenyatta,301
005 Atglen,2024,Auditor General,REP,Tim DeFoor,419
005 Atglen,2024,Auditor General,LIB,Reece Smith,7
005 Atglen,2024,Auditor General,ASP,Eric K. Anton,1
005 Atglen,2024,Auditor General,CST,Bob Goodrich,5
005 Atglen,2024,Auditor General,Not Assigned,Write-In Totals,0
010 Avondale,2024,Presidential Electors,DEM,Kamala D. Harris,225
010 Avondale,2024,Presidential Electors,REP,Donald J. Trump,113
010 Avondale,2024,Presidential Electors,LIB,Chase Oliver,5
010 Avondale,2024,Presidential Electors,GRN,Jill Stein,1
010 Avondale,2024,Presidential Electors,Not Assigned,Write-In Totals,2
010 Avondale,2024,United States Senator,DEM,"Robert P. Casey, Jr.",218
010 Avondale,2024,United States Senator,REP,Dave McCormick,106
010 Avondale,2024,United States Senator,LIB,John C. Thomas,12
010 Avondale,2024,United States Senator,GRN,Leila Hazou,4
010 Avondale,2024,United States Senator,CST,Marty Selker,1
010 Avondale,2024,United States Senator,Not Assigned,Write-In Totals,1
010 Avondale,2024,Attorney General,DEM,Eugene DePasquale,203
010 Avondale,2024,Attorney General,REP,Dave Sunday,118
010 Avondale,2024,Attorney General,LIB,Robert Cowburn,8
010 Avondale,2024,Attorney General,GRN,Richard L. Weiss,8
010 Avondale,2024,Attorney General,CST,Justin L. Magill,1
010 Avondale,2024,Attorney General,FWD,Eric L. Settle,0
010 Avondale,2024,Attorney General,Not Assigned,Write-In Totals,0
010 Avondale,2024,Auditor General,DEM,Malcolm Kenyatta,205
010 Avondale,2024,Auditor General,REP,Tim DeFoor,115
010 Avondale,2024,Auditor General,LIB,Reece Smith,13
010 Avondale,2024,Auditor General,ASP,Eric K. Anton,3
010 Avondale,2024,Auditor General,CST,Bob Goodrich,1
010 Avondale,2024,Auditor General,Not Assigned,Write-In Totals,0
