precinct,year,race,party,candidate,votes
BRISBIN BOROUGH,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,38
BRISBIN BOROUGH,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,174
BRISBIN BOROUGH,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,40
BRISBIN BOROUGH,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,164
BRISBIN BOROUGH,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,36
BRISBIN BOROUGH,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,162
BRISBIN BOROUGH,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,39
BRISBIN BOROUGH,2024,AUDITOR GENERAL,REP,TIM DEFOOR,161
BRISBIN BOROUGH,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,43
BRISBIN BOROUGH,2024,STATE TREASURER,REP,STACY GARRITY,156
BRISBIN BOROUGH,2024,REPRESENTATIVE IN CONGRESS,DEM,ZACH WOMER,34
BRISBIN BOROUGH,2024,REPRESENTATIVE IN CONGRESS,REP,GLENN GT THOMPSON,173
BRISBIN BOROUGH,2024,SENATOR IN THE GENERAL ASSEMBLY,REP,WAYNE LANGERHOLC JR,185
BRISBIN BOROUGH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 73RD DISTRICT,REP,DALLAS KEPHART,194
BURNSIDE BOROUGH,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,13
BURNSIDE BOROUGH,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,76
BURNSIDE BOROUGH,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,15
BURNSIDE BOROUGH,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,74
BURNSIDE BOROUGH,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,15
BURNSIDE BOROUGH,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,73
BURNSIDE BOROUGH,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,11
BURNSIDE BOROUGH,2024,AUDITOR GENERAL,REP,TIM DEFOOR,77
BURNSIDE BOROUGH,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,9
BURNSIDE BOROUGH,2024,STATE TREASURER,REP,STACY GARRITY,80
BURNSIDE BOROUGH,2024,REPRESENTATIVE IN CONGRESS,DEM,ZACH WOMER,11
BURNSIDE BOROUGH,2024,REPRESENTATIVE IN CONGRESS,REP,GLENN GT THOMPSON,79
BURNSIDE BOROUGH,2024,SENATOR IN THE GENERAL ASSEMBLY,REP,WAYNE LANGERHOLC JR,83
BURNSIDE BOROUGH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 73RD DISTRICT,REP,DALLAS KEPHART,87
CHESTER HILL BOROUGH,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,110
CHESTER HILL BOROUGH,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,248
CHESTER HILL BOROUGH,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,0
CHESTER HILL BOROUGH,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,0
CHESTER HILL BOROUGH,2024,PRESIDENTIAL ELECTORS,Write-In,SCATTERED,0
CHESTER HILL BOROUGH,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,119
CHESTER HILL BOROUGH,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,231
CHESTER HILL BOROUGH,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,2
CHESTER HILL BOROUGH,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
CHESTER HILL BOROUGH,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
CHESTER HILL BOROUGH,2024,UNITED STATES SENATOR,Write-In,SCATTERED,0
CHESTER HILL BOROUGH,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,99
CHESTER HILL BOROUGH,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,241
CHESTER HILL BOROUGH,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,5
CHESTER HILL BOROUGH,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
CHESTER HILL BOROUGH,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,1
CHESTER HILL BOROUGH,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
CHESTER HILL BOROUGH,2024,ATTORNEY GENERAL,Write-In,SCATTERED,0
CHESTER HILL BOROUGH,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,103
CHESTER HILL BOROUGH,2024,AUDITOR GENERAL,REP,TIM DEFOOR,239
CHESTER HILL BOROUGH,2024,AUDITOR GENERAL,LIB,REECE SMITH,3
CHESTER HILL BOROUGH,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
CHESTER HILL BOROUGH,2024,AUDITOR GENERAL,CST,BOB GOODRICH,4
CHESTER HILL BOROUGH,2024,AUDITOR GENERAL,Write-In,SCATTERED,0
CHESTER HILL BOROUGH,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,109
CHESTER HILL BOROUGH,2024,STATE TREASURER,REP,STACY GARRITY,233
CHESTER HILL BOROUGH,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,3
CHESTER HILL BOROUGH,2024,STATE TREASURER,CST,TROY BOWMAN,0
CHESTER HILL BOROUGH,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
CHESTER HILL BOROUGH,2024,STATE TREASURER,Write-In,SCATTERED,0
CHESTER HILL BOROUGH,2024,REPRESENTATIVE IN CONGRESS,DEM,ZACH WOMER,100
