precinct,year,race,party,candidate,votes
CAMP HILL 1,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,555
CAMP HILL 1,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,344
CAMP HILL 1,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,6
CAMP HILL 1,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,3
CAMP HILL 1,2024,PRESIDENTIAL ELECTORS,Write-In Totals,,6
CAMP HILL 1,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,550
CAMP HILL 1,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,330
CAMP HILL 1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,10
CAMP HILL 1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,10
CAMP HILL 1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
CAMP HILL 1,2024,UNITED STATES SENATOR,Write-In Totals,,0
CAMP HILL 1,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,504
CAMP HILL 1,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,359
CAMP HILL 1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,13
CAMP HILL 1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,8
CAMP HILL 1,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
CAMP HILL 1,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,4
CAMP HILL 1,2024,ATTORNEY GENERAL,Write-In Totals,,0
CAMP HILL 1,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,494
CAMP HILL 1,2024,AUDITOR GENERAL,REP,TIM DEFOOR,370
CAMP HILL 1,2024,AUDITOR GENERAL,LIB,REECE SMITH,17
CAMP HILL 1,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
CAMP HILL 1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,6
CAMP HILL 1,2024,AUDITOR GENERAL,Write-In Totals,,0
CAMP HILL 1,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,472
CAMP HILL 1,2024,STATE TREASURER,REP,STACY GARRITY,394
CAMP HILL 1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,17
CAMP HILL 1,2024,STATE TREASURER,CST,TROY BOWMAN,2
CAMP HILL 1,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
CAMP HILL 1,2024,STATE TREASURER,Write-In Totals,,0
CAMP HILL 1,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,DEM,JANELLE STELSON,565
CAMP HILL 1,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,REP,SCOTT PERRY,332
CAMP HILL 1,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,Write-In Totals,,0
CAMP HILL 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 103RD DISTRICT,DEM,NATE DAVIDSON,524
CAMP HILL 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 103RD DISTRICT,REP,CINDI WARD,360
CAMP HILL 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 103RD DISTRICT,Write-In Totals,,1
CAMP HILL 2,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,677
CAMP HILL 2,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,474
CAMP HILL 2,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
CAMP HILL 2,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,9
CAMP HILL 2,2024,PRESIDENTIAL ELECTORS,Write-In Totals,,9
CAMP HILL 2,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,653
CAMP HILL 2,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,484
CAMP HILL 2,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,16
CAMP HILL 2,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,11
CAMP HILL 2,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
CAMP HILL 2,2024,UNITED STATES SENATOR,Write-In Totals,,1
CAMP HILL 2,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,618
CAMP HILL 2,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,511
CAMP HILL 2,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,13
CAMP HILL 2,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
CAMP HILL 2,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
CAMP HILL 2,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,6
CAMP HILL 2,2024,ATTORNEY GENERAL,Write-In Totals,,1
CAMP HILL 2,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,572
CAMP HILL 2,2024,AUDITOR GENERAL,REP,TIM DEFOOR,552
CAMP HILL 2,2024,AUDITOR GENERAL,LIB,REECE SMITH,17
CAMP HILL 2,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
CAMP HILL 2,2024,AUDITOR GENERAL,CST,BOB GOODRICH,5
CAMP HILL 2,2024,AUDITOR GENERAL,Write-In Totals,,1
CAMP HILL 2,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,579
CAMP HILL 2,2024,STATE TREASURER,REP,STACY GARRITY,542
CAMP HILL 2,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,16
CAMP HILL 2,2024,STATE TREASURER,CST,TROY BOWMAN,0
CAMP HILL 2,2024,STATE TREASURER,FWD,CHRIS FOSTER,6
CAMP HILL 2,2024,STATE TREASURER,Write-In Totals,,2
CAMP HILL 2,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,DEM,JANELLE STELSON,705
CAMP HILL 2,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,REP,SCOTT PERRY,460
CAMP HILL 2,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,Write-In Totals,,2
CAMP HILL 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 103RD DISTRICT,DEM,NATE DAVIDSON,634
CAMP HILL 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 103RD DISTRICT,REP,CINDI WARD,508
CAMP HILL 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 103RD DISTRICT,Write-In Totals,,5
CAMP HILL 3,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS ,885
CAMP HILL 3,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,635
CAMP HILL 3,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,10
CAMP HILL 3,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,6
CAMP HILL 3,2024,PRESIDENTIAL ELECTORS,Write-In Totals,,11
CAMP HILL 3,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,856
CAMP HILL 3,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,653
CAMP HILL 3,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,21
CAMP HILL 3,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,10
CAMP HILL 3,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
CAMP HILL 3,2024,UNITED STATES SENATOR,Write-In Totals,,0
CAMP HILL 3,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,815
CAMP HILL 3,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,682
CAMP HILL 3,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,17
CAMP HILL 3,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,8
CAMP HILL 3,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,7
CAMP HILL 3,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,3
CAMP HILL 3,2024,ATTORNEY GENERAL,Write-In Totals,,1
CAMP HILL 3,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,762
CAMP HILL 3,2024,AUDITOR GENERAL,REP,TIM DEFOOR,728
CAMP HILL 3,2024,AUDITOR GENERAL,LIB,REECE SMITH,29
CAMP HILL 3,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
CAMP HILL 3,2024,AUDITOR GENERAL,CST,BOB GOODRICH,9
CAMP HILL 3,2024,AUDITOR GENERAL,Write-In Totals,,1
CAMP HILL 3,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,730
CAMP HILL 3,2024,STATE TREASURER,REP,STACY GARRITY,743
CAMP HILL 3,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,25
CAMP HILL 3,2024,STATE TREASURER,CST,TROY BOWMAN,8
CAMP HILL 3,2024,STATE TREASURER,FWD,CHRIS FOSTER,5
CAMP HILL 3,2024,STATE TREASURER,Write-In Totals,,3
CAMP HILL 3,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,DEM,JANELLE STELSON,907
CAMP HILL 3,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,REP,SCOTT PERRY,619
CAMP HILL 3,2024,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,Write-In Totals,,6
CAMP HILL 3,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 103RD DISTRICT,DEM,NATE DAVIDSON,820
