precinct,year,race,party,candidate,votes
Belle Vernon Borough - 02-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,168
Brownsville Township - 04-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,127
Brownsville Borough 1 - 06-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,123
Brownsville Borough 2 - 06-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,120
Brownsville Borough 3 - 06-03,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,183
Bullskin Township 1 - 08-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,457
Bullskin Township 2 - 08-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,163
Bullskin Township 3 - 08-03,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,232
Connellsville City 1- 10-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,346
Connellsville City 2- 10-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,314
Connellsville City 3- 10-03,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,129
Connellsville City 4- 10-04,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,235
Connellsville Township - 12-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,289
Dawson Borough - 14-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,42
Dunbar Township 1 - 16-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,305
Dunbar Township 2 - 16-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,662
Dunbar  Borough - 18-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,108
Everson Borough - 20-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,81
Fairchance Borough - 22-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,247
Fayette City Borough - 24-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,81
Franklin Township 1 - 26-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,162
Franklin Township 2 - 26-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,152
Georges Township 1 - 28-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,184
Georges Township 2 - 28-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,303
Georges Township 3 - 28-03,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,302
German Township 1 - 30-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,323
German Township 2 - 30-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,201
German Township 3 - 30-03,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,162
German Township 4 - 30-04,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,61
Henry Clay Township - 32-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,202
Jefferson Township - 34-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,294
Lower Tyrone Township - 36-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,116
Luzerne Township 1 - 38-01,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,223
Luzerne Township 2 - 38-02,2024,Presidential Electors,DEM,Kamala D Harris / Tim Walz,295
