precinct,year,race,party,candidate,votes
ALEXANDRIA,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,18
ALEXANDRIA,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,8
ALEXANDRIA,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,0
ALEXANDRIA,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,0
ALEXANDRIA,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,18
ALEXANDRIA,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,7
ALEXANDRIA,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,0
ALEXANDRIA,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,0
ALEXANDRIA,2024,UNITED STATES SENATOR,CST,MARTY SELKER,0
ALEXANDRIA,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,18
ALEXANDRIA,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,6
ALEXANDRIA,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,0
ALEXANDRIA,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,0
ALEXANDRIA,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,0
ALEXANDRIA,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,0
ALEXANDRIA,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,16
ALEXANDRIA,2024,AUDITOR GENERAL,REP,TIM DEFOOR,8
ALEXANDRIA,2024,AUDITOR GENERAL,LIB,REECE SMITH,0
ALEXANDRIA,2024,AUDITOR GENERAL,AST,ERIC K ANTON,0
ALEXANDRIA,2024,AUDITOR GENERAL,CST,BOB GOODRICH,0
ALEXANDRIA,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,17
ALEXANDRIA,2024,STATE TREASURER,REP,STACY GARRITY,7
ALEXANDRIA,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,0
ALEXANDRIA,2024,STATE TREASURER,CST,TROY BOWMAN,0
ALEXANDRIA,2024,STATE TREASURER,FWD,CHRIS FOSTER,0
ALEXANDRIA,2024,REPRESENTATIVE IN CONGRESS 13TH DISTRICT,DEM,BETH FARNHAM,17
ALEXANDRIA,2024,REPRESENTATIVE IN CONGRESS 13TH DISTRICT,REP,JOHN JOYCE,7
ALEXANDRIA,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 81st District,DEM,SEAN STEEG,16
ALEXANDRIA,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 81st District,REP,RICH IRVIN,9
BARREE,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,24
BARREE,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,23
BARREE,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,0
BARREE,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,0
BARREE,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,24
BARREE,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,22
BARREE,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,2
BARREE,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,0
BARREE,2024,UNITED STATES SENATOR,CST,MARTY SELKER,0
