precinct,year,race,party,candidate,votes
BEALE TOWNSHIP,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS and WALZ,69
BEALE TOWNSHIP,2024,PRESIDENTIAL ELECTORS,REP,TRUMP and VANCE,355
BEALE TOWNSHIP,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER and TER MAAT,3
BEALE TOWNSHIP,2024,PRESIDENTIAL ELECTORS,GRN,STEIN and WARE,0
BEALE TOWNSHIP,2024,PRESIDENTIAL ELECTORS,Write-In,Chris Christie,1
BEALE TOWNSHIP,2024,UNITED STATES SENATOR,DEM,"ROBERT P. CASEY, JR.",80
BEALE TOWNSHIP,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,326
BEALE TOWNSHIP,2024,UNITED STATES SENATOR,LIB,JOHN C. THOMAS,11
BEALE TOWNSHIP,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
BEALE TOWNSHIP,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
BEALE TOWNSHIP,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,75
BEALE TOWNSHIP,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,324
BEALE TOWNSHIP,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,11
BEALE TOWNSHIP,2024,ATTORNEY GENERAL,GRN,RICHARD L. WEISS,5
BEALE TOWNSHIP,2024,ATTORNEY GENERAL,CST,JUSTIN L. MAGILL,2
BEALE TOWNSHIP,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,70
BEALE TOWNSHIP,2024,AUDITOR GENERAL,REP,TIM DEFOOR,327
BEALE TOWNSHIP,2024,AUDITOR GENERAL,LIB,REECE SMITH,10
BEALE TOWNSHIP,2024,AUDITOR GENERAL,CST,BOB GOODRICH,5
BEALE TOWNSHIP,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,58
BEALE TOWNSHIP,2024,STATE TREASURER,REP,STACY GARRITY,346
BEALE TOWNSHIP,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,8
