precinct,year,race,party,candidate,votes
WAVERLY TOWNSHIP W-00 P-00,2024,Presidential Electors,DEM,HARRIS and WALZ,743
WAVERLY TOWNSHIP W-00 P-00,2024,Presidential Electors,REP,TRUMP and VANCE,552
WAVERLY TOWNSHIP W-00 P-00,2024,Presidential Electors,LIB,OLIVER and TER MAAT,5
WAVERLY TOWNSHIP W-00 P-00,2024,Presidential Electors,GRN,STEIN and WARE,5
WAVERLY TOWNSHIP W-00 P-00,2024,Presidential Electors,Write-In,,5
WAVERLY TOWNSHIP W-00 P-00,2024,United States Senator,DEM,"ROBERT P. CASEY, JR.",743
WAVERLY TOWNSHIP W-00 P-00,2024,United States Senator,REP,DAVE MCCORMICK,552
WAVERLY TOWNSHIP W-00 P-00,2024,United States Senator,LIB,JOHN C. THOMAS,5
WAVERLY TOWNSHIP W-00 P-00,2024,United States Senator,GRN,LEILA HAZOU,6
WAVERLY TOWNSHIP W-00 P-00,2024,United States Senator,CST,MARTY SELKER,0
WAVERLY TOWNSHIP W-00 P-00,2024,United States Senator,Write-In,,1
WAVERLY TOWNSHIP W-00 P-00,2024,Attorney General,DEM,EUGENE DEPASQUALE,692
WAVERLY TOWNSHIP W-00 P-00,2024,Attorney General,REP,DAVE SUNDAY,561
WAVERLY TOWNSHIP W-00 P-00,2024,Attorney General,LIB,ROBERT COWBURN,16
WAVERLY TOWNSHIP W-00 P-00,2024,Attorney General,GRN,RICHARD L. WEISS,6
WAVERLY TOWNSHIP W-00 P-00,2024,Attorney General,CST,JUSTIN L. MAGILL,5
WAVERLY TOWNSHIP W-00 P-00,2024,Attorney General,FWD,ERIC L. SETTLE,4
WAVERLY TOWNSHIP W-00 P-00,2024,Attorney General,Write-In,,2
WAVERLY TOWNSHIP W-00 P-00,2024,Auditor General,DEM,MALCOLM KENYATTA,668
WAVERLY TOWNSHIP W-00 P-00,2024,Auditor General,REP,TIM DEFOOR,577
WAVERLY TOWNSHIP W-00 P-00,2024,Auditor General,LIB,REECE SMITH,16
WAVERLY TOWNSHIP W-00 P-00,2024,Auditor General,ASP,ERIC K. ANTON,0
WAVERLY TOWNSHIP W-00 P-00,2024,Auditor General,CST,BOB GOODRICH,8
WAVERLY TOWNSHIP W-00 P-00,2024,Auditor General,Write-In,,2
WAVERLY TOWNSHIP W-00 P-00,2024,State Treasurer,DEM,ERIN MCCLELLAND,641
WAVERLY TOWNSHIP W-00 P-00,2024,State Treasurer,REP,STACY GARRITY,583
WAVERLY TOWNSHIP W-00 P-00,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,18
WAVERLY TOWNSHIP W-00 P-00,2024,State Treasurer,CST,TROY BOWMAN,3
WAVERLY TOWNSHIP W-00 P-00,2024,State Treasurer,FWD,CHRIS FOSTER,9
WAVERLY TOWNSHIP W-00 P-00,2024,State Treasurer,Write-In,,2
WAVERLY TOWNSHIP W-00 P-00,2024,Representative in Congress 8th District,DEM,MATT CARTWRIGHT,784
WAVERLY TOWNSHIP W-00 P-00,2024,Representative in Congress 8th District,REP,"ROB BRESNAHAN, JR.",514
WAVERLY TOWNSHIP W-00 P-00,2024,Representative in Congress 8th District,Write-In,,2
WAVERLY TOWNSHIP W-00 P-00,2024,Representative in the General Assembly 114th Dist,DEM,BRIDGET MALLOY,1011
WAVERLY TOWNSHIP W-00 P-00,2024,Representative in the General Assembly 114th Dist,Write-In,,44
ARCHBALD W-01 P-01,2024,Presidential Electors,DEM,HARRIS and WALZ,604
ARCHBALD W-01 P-01,2024,Presidential Electors,REP,TRUMP and VANCE,576
ARCHBALD W-01 P-01,2024,Presidential Electors,LIB,OLIVER and TER MAAT,7
ARCHBALD W-01 P-01,2024,Presidential Electors,GRN,STEIN and WARE,3
ARCHBALD W-01 P-01,2024,Presidential Electors,Write-In,,2
ARCHBALD W-01 P-01,2024,United States Senator,DEM,"ROBERT P. CASEY, JR.",620
ARCHBALD W-01 P-01,2024,United States Senator,REP,DAVE MCCORMICK,539
ARCHBALD W-01 P-01,2024,United States Senator,LIB,JOHN C. THOMAS,9
ARCHBALD W-01 P-01,2024,United States Senator,GRN,LEILA HAZOU,9
ARCHBALD W-01 P-01,2024,United States Senator,CST,MARTY SELKER,1
ARCHBALD W-01 P-01,2024,United States Senator,Write-In,,2
ARCHBALD W-01 P-01,2024,Attorney General,DEM,EUGENE DEPASQUALE,615
ARCHBALD W-01 P-01,2024,Attorney General,REP,DAVE SUNDAY,517
ARCHBALD W-01 P-01,2024,Attorney General,LIB,ROBERT COWBURN,15
ARCHBALD W-01 P-01,2024,Attorney General,GRN,RICHARD L. WEISS,6
ARCHBALD W-01 P-01,2024,Attorney General,CST,JUSTIN L. MAGILL,5
ARCHBALD W-01 P-01,2024,Attorney General,FWD,ERIC L. SETTLE,1
ARCHBALD W-01 P-01,2024,Attorney General,Write-In,,1
ARCHBALD W-01 P-01,2024,Auditor General,DEM,MALCOLM KENYATTA,583
ARCHBALD W-01 P-01,2024,Auditor General,REP,TIM DEFOOR,518
ARCHBALD W-01 P-01,2024,Auditor General,LIB,REECE SMITH,12
ARCHBALD W-01 P-01,2024,Auditor General,ASP,ERIC K. ANTON,2
ARCHBALD W-01 P-01,2024,Auditor General,CST,BOB GOODRICH,15
ARCHBALD W-01 P-01,2024,Auditor General,Write-In,,1
ARCHBALD W-01 P-01,2024,State Treasurer,DEM,ERIN MCCLELLAND,586
ARCHBALD W-01 P-01,2024,State Treasurer,REP,STACY GARRITY,511
ARCHBALD W-01 P-01,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,16
