precinct,year,race,party,candidate,votes
01E Lebanon 1st Ward East,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,224
01E Lebanon 1st Ward East,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,275
01E Lebanon 1st Ward East,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,1
01E Lebanon 1st Ward East,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,224
01E Lebanon 1st Ward East,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,241
01E Lebanon 1st Ward East,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,12
01E Lebanon 1st Ward East,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,5
01E Lebanon 1st Ward East,2024,UNITED STATES SENATOR,CST,MARTY SELKER,4
01E Lebanon 1st Ward East,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,208
01E Lebanon 1st Ward East,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,245
01E Lebanon 1st Ward East,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,9
01E Lebanon 1st Ward East,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,7
01E Lebanon 1st Ward East,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,6
01E Lebanon 1st Ward East,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
01E Lebanon 1st Ward East,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,202
01E Lebanon 1st Ward East,2024,AUDITOR GENERAL,REP,TIM DEFOOR,242
01E Lebanon 1st Ward East,2024,AUDITOR GENERAL,LIB,REECE SMITH,22
01E Lebanon 1st Ward East,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,3
01E Lebanon 1st Ward East,2024,AUDITOR GENERAL,CST,BOB GOODRICH,4
01E Lebanon 1st Ward East,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,195
01E Lebanon 1st Ward East,2024,STATE TREASURER,REP,STACY GARRITY,256
01E Lebanon 1st Ward East,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,11
01E Lebanon 1st Ward East,2024,STATE TREASURER,CST,TROY BOWMAN,8
01E Lebanon 1st Ward East,2024,STATE TREASURER,FWD,CHRIS FOSTER,3
01E Lebanon 1st Ward East,2024,REPRESENTATIVE IN CONGRESS 9TH US DISTRICT,DEM,AMANDA WALDMAN,216
01E Lebanon 1st Ward East,2024,REPRESENTATIVE IN CONGRESS 9TH US DISTRICT,REP,DAN MEUSER,255
01E Lebanon 1st Ward East,2024,REPRESENTATIVE in the GENERAL ASSEMBLY 101ST,REP,JOHN SCHLEGEL,347
01M Lebanon 1st Ward Middle,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,148
01M Lebanon 1st Ward Middle,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,220
