precinct,year,race,party,candidate,votes
Ashley Boro Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,321
Ashley Boro Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,173
Avoca Boro Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,269
Avoca Boro Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,236
Avoca Boro Ward 03,2024,Presidential Electors,DEM,HARRIS / WALZ,279
Bear Creek Township Dist 01,2024,Presidential Electors,DEM,HARRIS / WALZ,202
Bear Creek Township Dist 02,2024,Presidential Electors,DEM,HARRIS / WALZ,316
Bear Creek Township Dist 03,2024,Presidential Electors,DEM,HARRIS / WALZ,61
Bear Creek Village Boro,2024,Presidential Electors,DEM,HARRIS / WALZ,88
Black Creek Township,2024,Presidential Electors,DEM,HARRIS / WALZ,300
Buck Township,2024,Presidential Electors,DEM,HARRIS / WALZ,79
Butler Township Dist 01,2024,Presidential Electors,DEM,HARRIS / WALZ,357
Butler Township Dist 02,2024,Presidential Electors,DEM,HARRIS / WALZ,478
Butler Township Dist 03,2024,Presidential Electors,DEM,HARRIS / WALZ,266
Butler Township Dist 04,2024,Presidential Electors,DEM,HARRIS / WALZ,414
Butler Township Dist 05,2024,Presidential Electors,DEM,HARRIS / WALZ,276
Conyngham Boro,2024,Presidential Electors,DEM,HARRIS / WALZ,410
Conyngham Township,2024,Presidential Electors,DEM,HARRIS / WALZ,192
Courtdale Boro,2024,Presidential Electors,DEM,HARRIS / WALZ,160
Dallas Boro Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,301
Dallas Boro Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,425
Dallas Township Dist 01,2024,Presidential Electors,DEM,HARRIS / WALZ,335
Dallas Township Dist 02,2024,Presidential Electors,DEM,HARRIS / WALZ,475
Dallas Township Dist 03,2024,Presidential Electors,DEM,HARRIS / WALZ,393
Dallas Township Dist 04,2024,Presidential Electors,DEM,HARRIS / WALZ,457
Dallas Township Dist 05,2024,Presidential Electors,DEM,HARRIS / WALZ,365
Dennison Township,2024,Presidential Electors,DEM,HARRIS / WALZ,184
Dorrance Township,2024,Presidential Electors,DEM,HARRIS / WALZ,392
Dupont Boro Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,465
Dupont Boro Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,226
Duryea Boro Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,363
Duryea Boro Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,629
Duryea Boro Ward 03,2024,Presidential Electors,DEM,HARRIS / WALZ,291
Edwardsville Boro Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,507
Edwardsville Boro Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,445
Exeter Boro Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,318
Exeter Boro Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,377
Exeter Boro Ward 03,2024,Presidential Electors,DEM,HARRIS / WALZ,643
Exeter Township,2024,Presidential Electors,DEM,HARRIS / WALZ,435
Fairmount Township,2024,Presidential Electors,DEM,HARRIS / WALZ,160
Fairview Township Dist 01,2024,Presidential Electors,DEM,HARRIS / WALZ,589
Fairview Township Dist 02,2024,Presidential Electors,DEM,HARRIS / WALZ,535
Forty Fort Boro Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,460
Forty Fort Boro Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,367
Forty Fort Boro Ward 03,2024,Presidential Electors,DEM,HARRIS / WALZ,428
Foster Township Dist 01,2024,Presidential Electors,DEM,HARRIS / WALZ,213
Foster Township Dist 02,2024,Presidential Electors,DEM,HARRIS / WALZ,159
Franklin Township,2024,Presidential Electors,DEM,HARRIS / WALZ,327
Freeland Boro,2024,Presidential Electors,DEM,HARRIS / WALZ,461
Hanover Township Ward 01,2024,Presidential Electors,DEM,HARRIS / WALZ,326
Hanover Township Ward 02,2024,Presidential Electors,DEM,HARRIS / WALZ,371
Hanover Township Ward 03,2024,Presidential Electors,DEM,HARRIS / WALZ,591
Hanover Township Ward 04,2024,Presidential Electors,DEM,HARRIS / WALZ,331
Hanover Township Ward 05,2024,Presidential Electors,DEM,HARRIS / WALZ,342
Hanover Township Ward 06,2024,Presidential Electors,DEM,HARRIS / WALZ,204
Harveys Lake Boro,2024,Presidential Electors,DEM,HARRIS / WALZ,590
Hazle Township Dist 01,2024,Presidential Electors,DEM,HARRIS / WALZ,321
Hazle Township Dist 02,2024,Presidential Electors,DEM,HARRIS / WALZ,334
Hazle Township Dist 03,2024,Presidential Electors,DEM,HARRIS / WALZ,183
