precinct,year,race,party,candidate,votes
Annin Township,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,61
Annin Township,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,300
Annin Township,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,3
Annin Township,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,0
Annin Township,2024,PRESIDENTIAL ELECTORS,Write-In,Scattered,2
Annin Township,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,62
Annin Township,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,298
Annin Township,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,0
Annin Township,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
Annin Township,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
Annin Township,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,50
Annin Township,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,299
Annin Township,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,8
Annin Township,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
Annin Township,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,1
Annin Township,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,0
Annin Township,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,51
Annin Township,2024,AUDITOR GENERAL,REP,TIM DEFOOR,294
Annin Township,2024,AUDITOR GENERAL,LIB,REECE SMITH,6
Annin Township,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,3
Annin Township,2024,AUDITOR GENERAL,CST,BOB GOODRICH,5
Annin Township,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,50
Annin Township,2024,STATE TREASURER,REP,STACY GARRITY,300
Annin Township,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,7
Annin Township,2024,STATE TREASURER,CST,TROY BOWMAN,3
Annin Township,2024,STATE TREASURER,FWD,CHRIS FOSTER,0
Annin Township,2024,REPRESENTATIVE IN CONGRESS,DEM,ZACH WOMER,47
Annin Township,2024,REPRESENTATIVE IN CONGRESS,REP,GLENN GT THOMPSON,313
Annin Township,2024,SENATOR IN THE GENERAL ASSEMBLY,DEM,WILLIAM MCGILL,47
Annin Township,2024,SENATOR IN THE GENERAL ASSEMBLY,REP,CRIS DUSH,306
Annin Township,2024,SENATOR IN THE GENERAL ASSEMBLY,Write-In,Scattered,1
Annin Township,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DEM,RAJEEV PRADHAN,40
Annin Township,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY,REP,MARTIN T CAUSER,324
Bradford City 1st Ward,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,54
Bradford City 1st Ward,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,87
Bradford City 1st Ward,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,3
Bradford City 1st Ward,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
Bradford City 1st Ward,2024,PRESIDENTIAL ELECTORS,Write-In,Scattered,1
Bradford City 1st Ward,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,57
Bradford City 1st Ward,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,80
Bradford City 1st Ward,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,3
Bradford City 1st Ward,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
Bradford City 1st Ward,2024,UNITED STATES SENATOR,CST,MARTY SELKER,3
Bradford City 1st Ward,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,52
Bradford City 1st Ward,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,76
Bradford City 1st Ward,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,6
Bradford City 1st Ward,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,3
Bradford City 1st Ward,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,5
Bradford City 1st Ward,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
Bradford City 1st Ward,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,51
Bradford City 1st Ward,2024,AUDITOR GENERAL,REP,TIM DEFOOR,79
Bradford City 1st Ward,2024,AUDITOR GENERAL,LIB,REECE SMITH,7
Bradford City 1st Ward,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
Bradford City 1st Ward,2024,AUDITOR GENERAL,CST,BOB GOODRICH,5
Bradford City 1st Ward,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,52
Bradford City 1st Ward,2024,STATE TREASURER,REP,STACY GARRITY,80
Bradford City 1st Ward,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,4
Bradford City 1st Ward,2024,STATE TREASURER,CST,TROY BOWMAN,3
Bradford City 1st Ward,2024,STATE TREASURER,FWD,CHRIS FOSTER,3
Bradford City 1st Ward,2024,REPRESENTATIVE IN CONGRESS,DEM,ZACH WOMER,50
Bradford City 1st Ward,2024,REPRESENTATIVE IN CONGRESS,REP,GLENN GT THOMPSON,92
Bradford City 1st Ward,2024,SENATOR IN THE GENERAL ASSEMBLY,DEM,WILLIAM MCGILL,50
Bradford City 1st Ward,2024,SENATOR IN THE GENERAL ASSEMBLY,REP,CRIS DUSH,89
Bradford City 1st Ward,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DEM,RAJEEV PRADHAN,42
Bradford City 1st Ward,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY,REP,MARTIN T CAUSER,99
Bradford City 2nd Ward,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,169
Bradford City 2nd Ward,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,268
Bradford City 2nd Ward,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,3
Bradford City 2nd Ward,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,0
Bradford City 2nd Ward,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,168
Bradford City 2nd Ward,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,254
Bradford City 2nd Ward,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,8
Bradford City 2nd Ward,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,5
Bradford City 2nd Ward,2024,UNITED STATES SENATOR,CST,MARTY SELKER,5
Bradford City 2nd Ward,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,161
Bradford City 2nd Ward,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,259
Bradford City 2nd Ward,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,7
Bradford City 2nd Ward,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
Bradford City 2nd Ward,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
Bradford City 2nd Ward,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
Bradford City 2nd Ward,2024 General Election,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,158
Bradford City 2nd Ward,2024 General Election,AUDITOR GENERAL,REP,TIM DEFOOR,257
Bradford City 2nd Ward,2024 General Election,AUDITOR GENERAL,LIB,REECE SMITH,12
Bradford City 2nd Ward,2024 General Election,AUDITOR GENERAL,ASP,ERIC K ANTON,0
Bradford City 2nd Ward,2024 General Election,AUDITOR GENERAL,CST,BOB GOODRICH,9
Bradford City 2nd Ward,2024 General Election,STATE TREASURER,DEM,ERIN MCCLELLAND,156
Bradford City 2nd Ward,2024 General Election,STATE TREASURER,REP,STACY GARRITY,266
Bradford City 2nd Ward,2024 General Election,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,5
Bradford City 2nd Ward,2024 General Election,STATE TREASURER,CST,TROY BOWMAN,7
Bradford City 2nd Ward,2024 General Election,STATE TREASURER,FWD,CHRIS FOSTER,2
Bradford City 2nd Ward,2024 General Election,REPRESENTATIVE IN CONGRESS,DEM,ZACH WOMER,144
Bradford City 2nd Ward,2024 General Election,REPRESENTATIVE IN CONGRESS,REP,GLENN GT THOMPSON,288
Bradford City 2nd Ward,2024 General Election,SENATOR IN THE GENERAL ASSEMBLY,DEM,WILLIAM MCGILL,160
Bradford City 2nd Ward,2024 General Election,SENATOR IN THE GENERAL ASSEMBLY,REP,CRIS DUSH,274
Bradford City 2nd Ward,2024 General Election,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DEM,RAJEEV PRADHAN,135
Bradford City 2nd Ward,2024 General Election,REPRESENTATIVE IN THE GENERAL ASSEMBLY,REP,MARTIN T CAUSER,300
Bradford City 3rd Ward 1st Dist,2024 General Election,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,126
Bradford City 3rd Ward 1st Dist,2024 General Election,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,174
Bradford City 3rd Ward 1st Dist,2024 General Election,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
Bradford City 3rd Ward 1st Dist,2024 General Election,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,4
Bradford City 3rd Ward 1st Dist,2024 General Election,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,129
Bradford City 3rd Ward 1st Dist,2024 General Election,UNITED STATES SENATOR,REP,DAVE MCCORMICK,165
Bradford City 3rd Ward 1st Dist,2024 General Election,UNITED STATES SENATOR,LIB,JOHN C THOMAS,8
Bradford City 3rd Ward 1st Dist,2024 General Election,UNITED STATES SENATOR,GRN,LEILA HAZOU,3
