precinct,year,race,party,candidate,votes
Clark Borough,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,124
Clark Borough,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,242
Clark Borough,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,1
Clark Borough,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,1
Clark Borough,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,127
Clark Borough,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,227
Clark Borough,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,5
Clark Borough,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,3
Clark Borough,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
Clark Borough,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,127
Clark Borough,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,222
Clark Borough,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,7
Clark Borough,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
Clark Borough,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,2
Clark Borough,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,113
Clark Borough,2024,AUDITOR GENERAL,REP,TIM DEFOOR,228
Clark Borough,2024,AUDITOR GENERAL,LIB,REECE SMITH,8
Clark Borough,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
Clark Borough,2024,AUDITOR GENERAL,CST,BOB GOODRICH,3
Clark Borough,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,120
Clark Borough,2024,STATE TREASURER,REP,STACY GARRITY,226
Clark Borough,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,10
Clark Borough,2024,STATE TREASURER,CST,TROY BOWMAN,0
Clark Borough,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
Clark Borough,2024,REPRESENTATIVE IN CONGRESS DISTRICT 16,DEM,PRESTON NOURI,118
Clark Borough,2024,REPRESENTATIVE IN CONGRESS DISTRICT 16,REP,MIKE KELLY,243
Clark Borough,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 7,REP,PARKE WENTLING,285
