precinct,year,race,party,candidate,votes
ARMAGH TOWNSHIP-EAST,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,106
ARMAGH TOWNSHIP-EAST,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,512
ARMAGH TOWNSHIP-EAST,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,2
ARMAGH TOWNSHIP-EAST,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,2
ARMAGH TOWNSHIP-EAST,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,109
ARMAGH TOWNSHIP-EAST,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,497
ARMAGH TOWNSHIP-EAST,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,8
ARMAGH TOWNSHIP-EAST,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
ARMAGH TOWNSHIP-EAST,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
ARMAGH TOWNSHIP-EAST,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,82
ARMAGH TOWNSHIP-EAST,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,508
ARMAGH TOWNSHIP-EAST,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,5
ARMAGH TOWNSHIP-EAST,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,1
ARMAGH TOWNSHIP-EAST,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,3
ARMAGH TOWNSHIP-EAST,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
ARMAGH TOWNSHIP-EAST,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,82
ARMAGH TOWNSHIP-EAST,2024,AUDITOR GENERAL,REP,TIM DEFOOR,506
ARMAGH TOWNSHIP-EAST,2024,AUDITOR GENERAL,LIB,REECE SMITH,3
ARMAGH TOWNSHIP-EAST,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,3
ARMAGH TOWNSHIP-EAST,2024,AUDITOR GENERAL,CST,BOB GOODRICH,4
ARMAGH TOWNSHIP-EAST,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,81
ARMAGH TOWNSHIP-EAST,2024,STATE TREASURER,REP,STACY GARRITY,510
ARMAGH TOWNSHIP-EAST,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,3
ARMAGH TOWNSHIP-EAST,2024,STATE TREASURER,CST,TROY BOWMAN,3
ARMAGH TOWNSHIP-EAST,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
ARMAGH TOWNSHIP-EAST,2024,REPRESENTATIVE IN CONGRESS,DEM,BETH FARNHAM,84
ARMAGH TOWNSHIP-EAST,2024,REPRESENTATIVE IN CONGRESS,REP,JOHN JOYCE,499
ARMAGH TOWNSHIP-EAST,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171st LEGISLATIVE DISTRICT,REP,KERRY A BENNINGHOFF,559
ARMAGH TOWNSHIP-WEST,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,259
ARMAGH TOWNSHIP-WEST,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,1049
ARMAGH TOWNSHIP-WEST,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,4
ARMAGH TOWNSHIP-WEST,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,2
ARMAGH TOWNSHIP-WEST,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,274
ARMAGH TOWNSHIP-WEST,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,994
ARMAGH TOWNSHIP-WEST,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,21
ARMAGH TOWNSHIP-WEST,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,11
ARMAGH TOWNSHIP-WEST,2024,UNITED STATES SENATOR,CST,MARTY SELKER,5
ARMAGH TOWNSHIP-WEST,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,245
ARMAGH TOWNSHIP-WEST,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,1022
ARMAGH TOWNSHIP-WEST,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,15
ARMAGH TOWNSHIP-WEST,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,10
ARMAGH TOWNSHIP-WEST,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
ARMAGH TOWNSHIP-WEST,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
ARMAGH TOWNSHIP-WEST,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,220
ARMAGH TOWNSHIP-WEST,2024,AUDITOR GENERAL,REP,TIM DEFOOR,1018
ARMAGH TOWNSHIP-WEST,2024,AUDITOR GENERAL,LIB,REECE SMITH,20
ARMAGH TOWNSHIP-WEST,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,4
ARMAGH TOWNSHIP-WEST,2024,AUDITOR GENERAL,CST,BOB GOODRICH,17
ARMAGH TOWNSHIP-WEST,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,229
ARMAGH TOWNSHIP-WEST,2024,STATE TREASURER,REP,STACY GARRITY,1029
ARMAGH TOWNSHIP-WEST,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,17
ARMAGH TOWNSHIP-WEST,2024,STATE TREASURER,CST,TROY BOWMAN,10
ARMAGH TOWNSHIP-WEST,2024,STATE TREASURER,FWD,CHRIS FOSTER,3
ARMAGH TOWNSHIP-WEST,2024,REPRESENTATIVE IN CONGRESS,DEM,BETH FARNHAM,252
ARMAGH TOWNSHIP-WEST,2024,REPRESENTATIVE IN CONGRESS,REP,JOHN JOYCE,1033
ARMAGH TOWNSHIP-WEST,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171st LEGISLATIVE DISTRICT,REP,KERRY A BENNINGHOFF,1180
BRATTON TOWNSHIP,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,59
BRATTON TOWNSHIP,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,573
BRATTON TOWNSHIP,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,1
BRATTON TOWNSHIP,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,1
BRATTON TOWNSHIP,2024,PRESIDENTIAL ELECTORS,WRITE-IN,NIKKI HALEY,2
BRATTON TOWNSHIP,2024,PRESIDENTIAL ELECTORS,WRITE-IN,SCATTERED,1
BRATTON TOWNSHIP,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,60
BRATTON TOWNSHIP,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,562
BRATTON TOWNSHIP,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,5
BRATTON TOWNSHIP,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
BRATTON TOWNSHIP,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
BRATTON TOWNSHIP,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,51
BRATTON TOWNSHIP,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,570
BRATTON TOWNSHIP,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,6
BRATTON TOWNSHIP,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
BRATTON TOWNSHIP,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
BRATTON TOWNSHIP,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,48
BRATTON TOWNSHIP,2024,AUDITOR GENERAL,REP,TIM DEFOOR,557
BRATTON TOWNSHIP,2024,AUDITOR GENERAL,LIB,REECE SMITH,13
BRATTON TOWNSHIP,2024,AUDITOR GENERAL,CST,BOB GOODRICH,4
BRATTON TOWNSHIP,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,43
BRATTON TOWNSHIP,2024,STATE TREASURER,REP,STACY GARRITY,570
BRATTON TOWNSHIP,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,7
BRATTON TOWNSHIP,2024,STATE TREASURER,CST,TROY BOWMAN,3
BRATTON TOWNSHIP,2024,STATE TREASURER,FWD,CHRIS FOSTER,2
BRATTON TOWNSHIP,2024,REPRESENTATIVE IN CONGRESS,DEM,BETH FARNHAM,53
BRATTON TOWNSHIP,2024,REPRESENTATIVE IN CONGRESS,REP,JOHN JOYCE,577
BRATTON TOWNSHIP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171st LEGISLATIVE DISTRICT,REP,KERRY A BENNINGHOFF,599
BRATTON TOWNSHIP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 171st LEGISLATIVE DISTRICT,WRITE-IN,SCATTERED,1
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,296
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,890
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,1
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,1
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,PRESIDENTIAL ELECTORS,WRITE-IN,NIKKI HALEY,1
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,PRESIDENTIAL ELECTORS,WRITE-IN,SCATTERED,3
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,319
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,847
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,14
BROWN TOWNSHIP-REEDSVILLE/BIG VALLEY,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,5
