precinct,year,race,party,candidate,votes
Anthony Township,2024,Presidential Electors,Democratic,Harris and Walz,157
Anthony Township,2024,Presidential Electors,Republican,Trump and Vance,581
Anthony Township,2024,Presidential Electors,Libertarian,Oliver and Ter Maat,4
Anthony Township,2024,Presidential Electors,Green,Stein and Ware,5
Anthony Township,2024,Presidential Electors,Write-In,Scattered,1
Anthony Township,2024,United States Senator,Democratic,Robert P Casey Jr,164
Anthony Township,2024,United States Senator,Republican,Dave McCormick,572
Anthony Township,2024,United States Senator,Libertarian,John C Thomas,5
Anthony Township,2024,United States Senator,Green,Leila Hazou,3
Anthony Township,2024,United States Senator,Constitution,Marty Selker,5
Anthony Township,2024,Attorney General,Democratic,Eugene DePasquale,139
Anthony Township,2024,Attorney General,Republican,Dave Sunday,579
Anthony Township,2024,Attorney General,Libertarian,Robert Cowburn,13
Anthony Township,2024,Attorney General,Green,Richard L Weiss,3
Anthony Township,2024,Attorney General,Constitution,Justin L Magill,6
Anthony Township,2024,Attorney General,Forward Party,Eric L Settle,2
Anthony Township,2024,Attorney General,Write-In,Melvin Betz,1
Anthony Township,2024,Auditor General,Democratic,Malcolm Kenyatta,134
Anthony Township,2024,Auditor General,Republican,Tim DeFoor,585
Anthony Township,2024,Auditor General,Libertarian,Reece Smith,11
Anthony Township,2024,Auditor General,American Solidarity Party,Eric K Anton,1
Anthony Township,2024,Auditor General,Constitution,Bob Goodrich,11
Anthony Township,2024,State Treasurer,Democratic,Erin McClelland,133
Anthony Township,2024,State Treasurer,Republican,Stacy Garrity,588
Anthony Township,2024,State Treasurer,Libertarian,Nickolas Ciesielski,8
Anthony Township,2024,State Treasurer,Constitution,Troy Bowman,8
Anthony Township,2024,State Treasurer,Forward Party,Chris Foster,2
Anthony Township,2024,Representative in Congress,Democratic,Amanda Waldman,136
Anthony Township,2024,Representative in Congress,Republican,Dan Meuser,605
Anthony Township,2024,Senator in the General Assembly,Democratic,Patricia Lawton,124
Anthony Township,2024,Senator in the General Assembly,Republican,Lynda J Schlegel Culver,617
Anthony Township,2024,Representative in the General Assembly,Republican,Michael Stender,664
