precinct,year,race,party,candidate,votes
010001-1 ALLEN TWSP NORTH,2024,Presidential Electors,DEM,HARRIS / WALZ,655
010001-1 ALLEN TWSP NORTH,2024,Presidential Electors,REP,TRUMP / VANCE,1041
010001-1 ALLEN TWSP NORTH,2024,Presidential Electors,LIB,OLIVER / TER MAAT,9
010001-1 ALLEN TWSP NORTH,2024,Presidential Electors,GRN,STEIN / WARE,5
010001-1 ALLEN TWSP NORTH,2024,Presidential Electors,Write-In,Write-In Totals,2
010001-1 ALLEN TWSP NORTH,2024,United States Senator,DEM,ROBERT P CASEY JR,654
010001-1 ALLEN TWSP NORTH,2024,United States Senator,REP,DAVE MCCORMICK,1001
010001-1 ALLEN TWSP NORTH,2024,United States Senator,LIB,JOHN C THOMAS,20
010001-1 ALLEN TWSP NORTH,2024,United States Senator,GRN,LEILA HAZOU,11
010001-1 ALLEN TWSP NORTH,2024,United States Senator,CST,MARTY SELKER,5
010001-1 ALLEN TWSP NORTH,2024,United States Senator,Write-In,Write-In Totals,1
010001-1 ALLEN TWSP NORTH,2024,Attorney General,DEM,EUGENE DEPASQUALE,599
010001-1 ALLEN TWSP NORTH,2024,Attorney General,REP,DAVE SUNDAY,1026
010001-1 ALLEN TWSP NORTH,2024,Attorney General,LIB,ROBERT COWBURN,28
010001-1 ALLEN TWSP NORTH,2024,Attorney General,GRN,RICHARD L WEISS,12
010001-1 ALLEN TWSP NORTH,2024,Attorney General,CST,JUSTIN L MAGILL,7
010001-1 ALLEN TWSP NORTH,2024,Attorney General,FWD,ERIC L SETTLE,2
010001-1 ALLEN TWSP NORTH,2024,Auditor General,DEM,MALCOLM KENYATTA,608
010001-1 ALLEN TWSP NORTH,2024,Auditor General,REP,TIM DEFOOR,1020
010001-1 ALLEN TWSP NORTH,2024,Auditor General,LIB,REECE SMITH,28
010001-1 ALLEN TWSP NORTH,2024,Auditor General,ASP,ERIC K ANTON,3
010001-1 ALLEN TWSP NORTH,2024,Auditor General,CST,BOB GOODRICH,4
010001-1 ALLEN TWSP NORTH,2024,State Treasurer,DEM,ERIN MCCLELLAND,610
010001-1 ALLEN TWSP NORTH,2024,State Treasurer,REP,STACY GARRITY,1022
010001-1 ALLEN TWSP NORTH,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,25
010001-1 ALLEN TWSP NORTH,2024,State Treasurer,CST,TROY BOWMAN,3
010001-1 ALLEN TWSP NORTH,2024,State Treasurer,FWD,CHRIS FOSTER,4
010001-1 ALLEN TWSP NORTH,2024,Representative in Congress District 7,DEM,SUSAN WILD,687
010001-1 ALLEN TWSP NORTH,2024,Representative in Congress District 7,REP,RYAN E MACKENZIE,1009
010001-1 ALLEN TWSP NORTH,2024,Representative in Congress District 7,Write-In,Write-In Totals,1
010001-1 ALLEN TWSP NORTH,2024,Representative in the General Assembly 183rd Legislative District,DEM,JOE LENZI,528
010001-1 ALLEN TWSP NORTH,2024,Representative in the General Assembly 183rd Legislative District,REP,ZACH MAKO,1146
010001-1 ALLEN TWSP NORTH,2024,Northampton County Home Rule Charter Amendment,YES,YES,1155
010001-1 ALLEN TWSP NORTH,2024,Northampton County Home Rule Charter Amendment,NO,NO,195
010002-1 ALLEN TWSP SOUTH,2024,Presidential Electors,DEM,HARRIS / WALZ,826
010002-1 ALLEN TWSP SOUTH,2024,Presidential Electors,REP,TRUMP / VANCE,1020
010002-1 ALLEN TWSP SOUTH,2024,Presidential Electors,LIB,OLIVER / TER MAAT,5
010002-1 ALLEN TWSP SOUTH,2024,Presidential Electors,GRN,STEIN / WARE,11
010002-1 ALLEN TWSP SOUTH,2024,Presidential Electors,Write-In,Write-In Totals,5
010002-1 ALLEN TWSP SOUTH,2024,United States Senator,DEM,ROBERT P CASEY JR,808
010002-1 ALLEN TWSP SOUTH,2024,United States Senator,REP,DAVE MCCORMICK,991
010002-1 ALLEN TWSP SOUTH,2024,United States Senator,LIB,JOHN C THOMAS,20
010002-1 ALLEN TWSP SOUTH,2024,United States Senator,GRN,LEILA HAZOU,15
010002-1 ALLEN TWSP SOUTH,2024,United States Senator,CST,MARTY SELKER,4
010002-1 ALLEN TWSP SOUTH,2024,Attorney General,DEM,EUGENE DEPASQUALE,758
010002-1 ALLEN TWSP SOUTH,2024,Attorney General,REP,DAVE SUNDAY,1017
010002-1 ALLEN TWSP SOUTH,2024,Attorney General,LIB,ROBERT COWBURN,13
010002-1 ALLEN TWSP SOUTH,2024,Attorney General,GRN,RICHARD L WEISS,19
010002-1 ALLEN TWSP SOUTH,2024,Attorney General,CST,JUSTIN L MAGILL,1
010002-1 ALLEN TWSP SOUTH,2024,Attorney General,FWD,ERIC L SETTLE,4
010002-1 ALLEN TWSP SOUTH,2024,Auditor General,DEM,MALCOLM KENYATTA,760
010002-1 ALLEN TWSP SOUTH,2024,Auditor General,REP,TIM DEFOOR,1008
010002-1 ALLEN TWSP SOUTH,2024,Auditor General,LIB,REECE SMITH,20
010002-1 ALLEN TWSP SOUTH,2024,Auditor General,ASP,ERIC K ANTON,6
010002-1 ALLEN TWSP SOUTH,2024,Auditor General,CST,BOB GOODRICH,6
010002-1 ALLEN TWSP SOUTH,2024,State Treasurer,DEM,ERIN MCCLELLAND,770
010002-1 ALLEN TWSP SOUTH,2024,State Treasurer,REP,STACY GARRITY,995
010002-1 ALLEN TWSP SOUTH,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,22
010002-1 ALLEN TWSP SOUTH,2024,State Treasurer,CST,TROY BOWMAN,5
010002-1 ALLEN TWSP SOUTH,2024,State Treasurer,FWD,CHRIS FOSTER,5
010002-1 ALLEN TWSP SOUTH,2024,Representative in Congress District 7,DEM,SUSAN WILD,824
