precinct,year,race,party,candidate,votes
Coal Township 1,2024,PRESIDENTIAL ELECTORS,DEM,"KAMALA D. HARRIS, President TIM WALZ, Vice- President",103
Coal Township 1,2024,PRESIDENTIAL ELECTORS,REP,"DONALD J. TRUMP, President JD VANCE, Vice-President",215
Coal Township 1,2024,PRESIDENTIAL ELECTORS,LIB,"CHASE OLIVER, President MIKE TER MAAT, Vice-President",4
Coal Township 1,2024,PRESIDENTIAL ELECTORS,GRN,"JILL STEIN, President RUDOLPH WARE, Vice-President",3
Coal Township 1,2024,UNITED STATES SENATOR,DEM,"ROBERT P. CASEY, JR.",119
Coal Township 1,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,194
Coal Township 1,2024,UNITED STATES SENATOR,LIB,JOHN C. THOMAS,9
Coal Township 1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
Coal Township 1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,3
Coal Township 1,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,109
Coal Township 1,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,194
Coal Township 1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,8
Coal Township 1,2024,ATTORNEY GENERAL,GRN,RICHARD L. WEISS,5
Coal Township 1,2024,ATTORNEY GENERAL,CST,JUSTIN L. MAGILL,1
Coal Township 1,2024,ATTORNEY GENERAL,FWD,ERIC L. SETTLE,1
Coal Township 1,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,101
Coal Township 1,2024,AUDITOR GENERAL,REP,TIM DEFOOR,201
Coal Township 1,2024,AUDITOR GENERAL,LIB,REECE SMITH,8
Coal Township 1,2024,AUDITOR GENERAL,ASP,ERIC K. ANTON,2
Coal Township 1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,6
Coal Township 1,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,106
Coal Township 1,2024,STATE TREASURER,REP,STACY GARRITY,205
Coal Township 1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,5
Coal Township 1,2024,STATE TREASURER,CST,TROY BOWMAN,1
Coal Township 1,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
Coal Township 1,2024,REPRESENTATIVE IN CONGRESS 9th District,DEM,AMANDA WALDMAN,110
Coal Township 1,2024,REPRESENTATIVE IN CONGRESS 9th District,REP,DAN MEUSER,212
Coal Township 1,2024,SENATOR IN THE GENERAL ASSEMBLY,DEM,PATRICIA LAWTON,97
Coal Township 1,2024,SENATOR IN THE GENERAL ASSEMBLY,REP,LYNDA J. SCHLEGEL CULVER,223
Coal Township 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 107th District,REP,JOANNE STEHR,265
Coal Township 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 107th District,WRITE-IN,Write-In Totals,8
Coal Township 2,2024,PRESIDENTIAL ELECTORS,DEM,"KAMALA D. HARRIS, President TIM WALZ, Vice-President",185
Coal Township 2,2024,PRESIDENTIAL ELECTORS,REP,"DONALD J. TRUMP, President JD VANCE, Vice-President",283
Coal Township 2,2024,PRESIDENTIAL ELECTORS,LIB,"CHASE OLIVER, President MIKE TER MAAT, Vice-President",3
Coal Township 2,2024,PRESIDENTIAL ELECTORS,GRN,"JILL STEIN, President RUDOLPH WARE, Vice-President",20
Coal Township 2,2024,PRESIDENTIAL ELECTORS,WRITE-IN,Write-In Totals,3
Coal Township 2,2024,UNITED STATES SENATOR,DEM,"ROBERT P. CASEY, JR.",196
Coal Township 2,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,257
Coal Township 2,2024,UNITED STATES SENATOR,LIB,JOHN C. THOMAS,7
Coal Township 2,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,9
Coal Township 2,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
Coal Township 2,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,183
Coal Township 2,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,252
Coal Township 2,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,5
Coal Township 2,2024,ATTORNEY GENERAL,GRN,RICHARD L. WEISS,12
