precinct,year,race,party,candidate,votes
ABBOTT TOWNSHIP,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,31
ABBOTT TOWNSHIP,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,135
ABBOTT TOWNSHIP,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,0
ABBOTT TOWNSHIP,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,0
ABBOTT TOWNSHIP,2024,PRESIDENTIAL ELECTORS,Write-In,SCATTERED,1
ABBOTT TOWNSHIP,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,29
ABBOTT TOWNSHIP,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,134
ABBOTT TOWNSHIP,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,2
ABBOTT TOWNSHIP,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
ABBOTT TOWNSHIP,2024,UNITED STATES SENATOR,CST,MARTY SELKER,1
ABBOTT TOWNSHIP,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,25
ABBOTT TOWNSHIP,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,134
ABBOTT TOWNSHIP,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,3
ABBOTT TOWNSHIP,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
ABBOTT TOWNSHIP,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,1
ABBOTT TOWNSHIP,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,23
ABBOTT TOWNSHIP,2024,AUDITOR GENERAL,REP,TIM DEFOOR,137
ABBOTT TOWNSHIP,2024,AUDITOR GENERAL,LIB,REECE SMITH,3
ABBOTT TOWNSHIP,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,0
ABBOTT TOWNSHIP,2024,AUDITOR GENERAL,CST,BOB GOODRICH,2
ABBOTT TOWNSHIP,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,27
ABBOTT TOWNSHIP,2024,STATE TREASURER,REP,STACY GARRITY,136
ABBOTT TOWNSHIP,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,0
ABBOTT TOWNSHIP,2024,STATE TREASURER,CST,TROY BOWMAN,1
ABBOTT TOWNSHIP,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
ABBOTT TOWNSHIP,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,25
