precinct,year,race,party,candidate,votes
ADAMS TOWNSHIP,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,69
ADAMS TOWNSHIP,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,389
ADAMS TOWNSHIP,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,3
ADAMS TOWNSHIP,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,0
ADAMS TOWNSHIP,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,81
ADAMS TOWNSHIP,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,363
ADAMS TOWNSHIP,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,7
ADAMS TOWNSHIP,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
ADAMS TOWNSHIP,2024,UNITED STATES SENATOR,CST,MARTY SELKER,3
ADAMS TOWNSHIP,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,70
ADAMS TOWNSHIP,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,376
ADAMS TOWNSHIP,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,6
ADAMS TOWNSHIP,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,0
ADAMS TOWNSHIP,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
ADAMS TOWNSHIP,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,63
ADAMS TOWNSHIP,2024,AUDITOR GENERAL,REP,TIM DEFOOR,376
ADAMS TOWNSHIP,2024,AUDITOR GENERAL,LIB,REECE SMITH,8
ADAMS TOWNSHIP,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,1
ADAMS TOWNSHIP,2024,AUDITOR GENERAL,CST,BOB GOODRICH,2
ADAMS TOWNSHIP,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,57
ADAMS TOWNSHIP,2024,STATE TREASURER,REP,STACY GARRITY,385
ADAMS TOWNSHIP,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,5
ADAMS TOWNSHIP,2024,STATE TREASURER,CST,TROY BOWMAN,6
ADAMS TOWNSHIP,2024,REPRESENTATIVE IN CONGRESS 15TH DISTRICT,DEM,ZACH WOMER,64
ADAMS TOWNSHIP,2024,REPRESENTATIVE IN CONGRESS 15TH DISTRICT,REP,GLENN GT THOMPSON,387
ADAMS TOWNSHIP,2024,SENATOR IN THE GENERAL ASSEMBLY 27TH DISTRICT,DEM,PATRICIA LAWTON,57
ADAMS TOWNSHIP,2024,SENATOR IN THE GENERAL ASSEMBLY 27TH DISTRICT,REP,LYNDA J SCHLEGEL CULVER,398
ADAMS TOWNSHIP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 85TH DISTRICT,DEM,NICK JACOBSON,60
ADAMS TOWNSHIP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 85TH DISTRICT,REP,DAVID H ROWE,394
BEAVER TOWNSHIP,2024,PRESIDENTIAL ELECTORS,DEM,HARRIS / WALZ,48
BEAVER TOWNSHIP,2024,PRESIDENTIAL ELECTORS,REP,TRUMP / VANCE,250
BEAVER TOWNSHIP,2024,PRESIDENTIAL ELECTORS,LIB,OLIVER / TER MAAT,1
BEAVER TOWNSHIP,2024,PRESIDENTIAL ELECTORS,GRN,STEIN / WARE,1
