precinct,year,race,party,candidate,votes
Tioga County,2024,PRESIDENTIAL ELECTORS,DEM,Kamala D. Harris,5100
Tioga County,2024,PRESIDENTIAL ELECTORS,REP,Donald J. Trump,16272
Tioga County,2024,PRESIDENTIAL ELECTORS,LIB,Chase Oliver,144
Tioga County,2024,PRESIDENTIAL ELECTORS,GRN,Jill Stein,71
Tioga County,2024,PRESIDENTIAL ELECTORS,Write-In,Write-In Totals,59
Tioga County,2024,UNITED STATES SENATOR,DEM,"Robert P. Casey, Jr.",5066
Tioga County,2024,UNITED STATES SENATOR,REP,Dave McCormick,15778
Tioga County,2024,UNITED STATES SENATOR,LIB,John C. Thomas,350
Tioga County,2024,UNITED STATES SENATOR,GRN,Leila Hazou,135
Tioga County,2024,UNITED STATES SENATOR,CST,Marty Selker,103
Tioga County,2024,UNITED STATES SENATOR,Write-In,Write-In Totals,7
Tioga County,2024,ATTORNEY GENERAL,DEM,Eugene DePasquale,4597
Tioga County,2024,ATTORNEY GENERAL,REP,Dave Sunday,15979
Tioga County,2024,ATTORNEY GENERAL,LIB,Robert Cowburn,347
Tioga County,2024,ATTORNEY GENERAL,GRN,Richard L. Weiss,145
Tioga County,2024,ATTORNEY GENERAL,CST,Justin L. Magill,148
Tioga County,2024,ATTORNEY GENERAL,FWD,Eric L. Settle,46
Tioga County,2024,ATTORNEY GENERAL,Write-In,Write-In Totals,4
Tioga County,2024,AUDITOR GENERAL,DEM,Malcolm Kenyatta,4375
Tioga County,2024,AUDITOR GENERAL,REP,Tim DeFoor,15886
Tioga County,2024,AUDITOR GENERAL,LIB,Reece Smith,419
Tioga County,2024,AUDITOR GENERAL,ASP,Eric K. Anton,55
Tioga County,2024,AUDITOR GENERAL,CST,Bob Goodrich,427
Tioga County,2024,AUDITOR GENERAL,Write-In,Write-In Totals,5
Tioga County,2024,STATE TREASURER,DEM,Erin McClelland,4400
Tioga County,2024,STATE TREASURER,REP,Stacy Garrity,16273
Tioga County,2024,STATE TREASURER,LIB,Nickolas Ciesielski,315
Tioga County,2024,STATE TREASURER,CST,Troy Bowman,182
Tioga County,2024,STATE TREASURER,FWD,Chris Foster,73
Tioga County,2024,STATE TREASURER,Write-In,Write-In Totals,5
Tioga County,2024,REP IN CONGRESS 15TH DISTRICT,DEM,Zach Womer,4546
