precinct,year,race,party,candidate,votes
Franklin 1,2024,Presidential Electors,DEM,Kamala D Harris,423
Franklin 1,2024,Presidential Electors,REP,Donald J Trump,541
Franklin 1,2024,Presidential Electors,LIB,Chase Oliver,8
Franklin 1,2024,Presidential Electors,GRN,Jill Stein,1
Franklin 1,2024,Presidential Electors,Write-In,Nikki Haley,1
Franklin 1,2024,Presidential Electors,Write-In,<FICTITIOUS>,1
Franklin 1,2024,United States Senator,DEM,Robert P Casey Jr,432
Franklin 1,2024,United States Senator,REP,Dave McCormick,499
Franklin 1,2024,United States Senator,LIB,John C Thomas,17
Franklin 1,2024,United States Senator,GRN,Leila Hazou,12
Franklin 1,2024,United States Senator,CST,Marty Selker,7
Franklin 1,2024,Attorney General,DEM,Eugene DePasquale,409
Franklin 1,2024,Attorney General,REP,Dave Sunday,515
Franklin 1,2024,Attorney General,LIB,Robert Cowburn,14
Franklin 1,2024,Attorney General,GRN,Richard L Weiss,9
Franklin 1,2024,Attorney General,CST,Justin L Magill,10
Franklin 1,2024,Attorney General,FWD,Eric L Settle,4
Franklin 1,2024,Auditor General,DEM,Malcolm Kenyatta,401
Franklin 1,2024,Auditor General,REP,Tim DeFoor,512
Franklin 1,2024,Auditor General,LIB,Reece Smith,25
Franklin 1,2024,Auditor General,ASP,Eric K Anton,2
Franklin 1,2024,Auditor General,CST,Bob Goodrich,17
Franklin 1,2024,State Treasurer,DEM,Erin McClelland,402
Franklin 1,2024,State Treasurer,REP,Stacy Garrity,527
Franklin 1,2024,State Treasurer,LIB,Nickolas Ciesielski,17
Franklin 1,2024,State Treasurer,CST,Troy Bowman,8
Franklin 1,2024,State Treasurer,FWD,Chris Foster,6
Franklin 1,2024,Representative in Congress District 16,DEM,Preston Nouri,397
Franklin 1,2024,Representative in Congress District 16,REP,Mike Kelly,556
Franklin 1,2024,Senator in the General Assembly,REP,Scott E Hutchinson,779
Franklin 1,2024,Senator in the General Assembly,Write-In,<FICTITIOUS>,8
Franklin 1,2024,Senator in the General Assembly,Write-In,Edward Scurry,4
Franklin 1,2024,Senator in the General Assembly,Write-In,Scott E Weaver,3
Franklin 1,2024,Senator in the General Assembly,Write-In,John Kluck,3
Franklin 1,2024,Senator in the General Assembly,Write-In,<BLANK>,3
Franklin 1,2024,Senator in the General Assembly,Write-In,Ryan Rudegeair,2
Franklin 1,2024,Senator in the General Assembly,Write-In,Davin L Cutchall,2
Franklin 1,2024,Senator in the General Assembly,Write-In,Riley Smeal,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Melissa Mix,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Luke Curik,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Robert Hoffman,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Liz Hallahan,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Snead Berman,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Diana V Guillen,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Adrianna Curik,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Jodi Baker Lewis,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Raymond C Fike Jr,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Barack Obama,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Peter Greene,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Mathew Beith,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Elizabeth D Miller,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Ruben Hurst,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Dennis Hubbard,1
Franklin 1,2024,Senator in the General Assembly,Write-In,John Smith,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Scott E Hutchinson,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Zud Glickman,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Clint DuMond,1
Franklin 1,2024,Senator in the General Assembly,Write-In,Dan Fisher,1
Franklin 1,2024,Senator in the General Assembly,,Robert E Stine,0
Franklin 1,2024,Senator in the General Assembly,,Jeffrey W Langworthy,0
Franklin 1,2024,Senator in the General Assembly,,John Quincy Adams,0
Franklin 1,2024,Senator in the General Assembly,,Matt Johnson,0
Franklin 1,2024,Senator in the General Assembly,,Richard Edward Bukowski,0
Franklin 1,2024,Senator in the General Assembly,,Rebecca Lepley,0
Franklin 1,2024,Senator in the General Assembly,,Donald O Oesterling,0
Franklin 1,2024,Senator in the General Assembly,,Ralph Montgomery,0
Franklin 1,2024,Senator in the General Assembly,,Carlos Octavio Cintron,0
Franklin 1,2024,Senator in the General Assembly,,Robin Mazyck,0
Franklin 1,2024,Senator in the General Assembly,,John Kratos,0
Franklin 1,2024,Senator in the General Assembly,,Ashley Smith,0
Franklin 1,2024,Senator in the General Assembly,,Kelsey MacVay,0
Franklin 1,2024,Senator in the General Assembly,,John Stewart,0
Franklin 1,2024,Senator in the General Assembly,,Ryan Harkless,0
Franklin 1,2024,Senator in the General Assembly,,Brian Platt,0
Franklin 1,2024,Senator in the General Assembly,,Aaron T Stucke-Heiser,0
Franklin 1,2024,Senator in the General Assembly,,Daniel M Atkins,0
Franklin 1,2024,Senator in the General Assembly,,Karen Stucke,0
Franklin 1,2024,Senator in the General Assembly,,R Lee James,0
Franklin 1,2024,Senator in the General Assembly,,Cullen Flaherty,0
Franklin 1,2024,Senator in the General Assembly,,Carl Hohhman,0
Franklin 1,2024,Senator in the General Assembly,,Alex S Huston,0
Franklin 1,2024,Senator in the General Assembly,,Jack Smith,0
Franklin 1,2024,Senator in the General Assembly,,Eric L Settle,0
Franklin 1,2024,Senator in the General Assembly,,Travis Hicks,0
Franklin 1,2024,Senator in the General Assembly,,David Mark Beers,0
Franklin 1,2024,Senator in the General Assembly,,Tessa Yashinski,0
Franklin 1,2024,Senator in the General Assembly,,Hillary Gates,0
Franklin 1,2024,Senator in the General Assembly,,Kevin Vinson,0
Franklin 1,2024,Senator in the General Assembly,,Robert Lawrence,0
Franklin 1,2024,Senator in the General Assembly,,Fredrick Smith,0
