precinct,year,race,party,candidate,votes
ALLENPORT,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,94
ALLENPORT,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,170
ALLENPORT,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,0
ALLENPORT,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,0
ALLENPORT,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,103
ALLENPORT,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,156
ALLENPORT,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,2
ALLENPORT,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,1
ALLENPORT,2024,UNITED STATES SENATOR,CST,MARTY SELKER,0
ALLENPORT,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,99
ALLENPORT,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,153
ALLENPORT,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,3
ALLENPORT,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
ALLENPORT,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,0
ALLENPORT,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,95
ALLENPORT,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,150
ALLENPORT,2024,AUDITOR GENERAL,LIB,REECE SMITH,3
ALLENPORT,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,0
ALLENPORT,2024,AUDITOR GENERAL,CST,BOB GOODRICH,5
ALLENPORT,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,88
ALLENPORT,2024,STATE TREASURER,Rep,STACY GARRITY,155
ALLENPORT,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,3
ALLENPORT,2024,STATE TREASURER,CST,TROY BOWMAN,5
ALLENPORT,2024,STATE TREASURER,FWD,CHRIS FOSTER,2
ALLENPORT,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,91
ALLENPORT,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,156
ALLENPORT,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 50TH DISTRICT,Dem,DREW ROSS MANKO,82
ALLENPORT,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 50TH DISTRICT,Rep,BUD COOK,153
AMWELL 1,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,287
AMWELL 1,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,875
AMWELL 1,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
AMWELL 1,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,5
AMWELL 1,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,299
AMWELL 1,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,834
AMWELL 1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,19
AMWELL 1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,4
AMWELL 1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,5
AMWELL 1,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,290
AMWELL 1,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,835
AMWELL 1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,9
AMWELL 1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,7
AMWELL 1,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,7
AMWELL 1,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
AMWELL 1,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,263
AMWELL 1,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,851
AMWELL 1,2024,AUDITOR GENERAL,LIB,REECE SMITH,16
AMWELL 1,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,5
AMWELL 1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,7
AMWELL 1,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,278
AMWELL 1,2024,STATE TREASURER,Rep,STACY GARRITY,847
AMWELL 1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,7
AMWELL 1,2024,STATE TREASURER,CST,TROY BOWMAN,13
AMWELL 1,2024,STATE TREASURER,FWD,CHRIS FOSTER,2
AMWELL 1,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,280
AMWELL 1,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,840
AMWELL 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 48TH DISTRICT,Rep,TIM O'NEAL,832
AMWELL 2,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,177
AMWELL 2,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,763
AMWELL 2,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,4
AMWELL 2,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
AMWELL 2,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,200
AMWELL 2,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,724
AMWELL 2,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,11
AMWELL 2,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
AMWELL 2,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
AMWELL 2,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,198
AMWELL 2,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,709
AMWELL 2,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,13
AMWELL 2,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,3
AMWELL 2,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,6
AMWELL 2,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
AMWELL 2,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,183
AMWELL 2,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,711
AMWELL 2,2024,AUDITOR GENERAL,LIB,REECE SMITH,15
AMWELL 2,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,2
AMWELL 2,2024,AUDITOR GENERAL,CST,BOB GOODRICH,10
AMWELL 2,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,180
AMWELL 2,2024,STATE TREASURER,Rep,STACY GARRITY,717
AMWELL 2,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,14
AMWELL 2,2024,STATE TREASURER,CST,TROY BOWMAN,6
AMWELL 2,2024,STATE TREASURER,FWD,CHRIS FOSTER,5
AMWELL 2,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,189
AMWELL 2,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,728
AMWELL 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 48TH DISTRICT,Rep,TIM O'NEAL,675
AMWELL 2,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 48TH DISTRICT,Write-In,Write-In: Scattered,9
BEALLSVILLE,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,71
BEALLSVILLE,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,157
BEALLSVILLE,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,3
BEALLSVILLE,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,72
BEALLSVILLE,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,142
BEALLSVILLE,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,7
BEALLSVILLE,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
BEALLSVILLE,2024,UNITED STATES SENATOR,CST,MARTY SELKER,3
BEALLSVILLE,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,72
BEALLSVILLE,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,141
BEALLSVILLE,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,4
BEALLSVILLE,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
BEALLSVILLE,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,3
BEALLSVILLE,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
BEALLSVILLE,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,63
BEALLSVILLE,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,148
BEALLSVILLE,2024,AUDITOR GENERAL,LIB,REECE SMITH,4
BEALLSVILLE,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,2
BEALLSVILLE,2024,AUDITOR GENERAL,CST,BOB GOODRICH,3
BEALLSVILLE,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,67
BEALLSVILLE,2024,STATE TREASURER,Rep,STACY GARRITY,148
BEALLSVILLE,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,2
BEALLSVILLE,2024,STATE TREASURER,CST,TROY BOWMAN,3
BEALLSVILLE,2024,STATE TREASURER,FWD,CHRIS FOSTER,1
BEALLSVILLE,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,71
BEALLSVILLE,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,142
BEALLSVILLE,2024,REPRESENTATIVE IN CONGRESS,Write-In,Scattered,1
BEALLSVILLE,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 50TH DISTRICT,Dem,DREW ROSS MANKO,54
BEALLSVILLE,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 50TH DISTRICT,Rep,BUD COOK,148
BEALLSVILLE,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 50TH DISTRICT,Write-In,Scattered,1
BENTLEYVILLE,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,419
BENTLEYVILLE,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,742
BENTLEYVILLE,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
BENTLEYVILLE,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,2
BENTLEYVILLE,2024,PRESIDENTIAL ELECTORS,Write-In,Scattered,3
BENTLEYVILLE,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,429
BENTLEYVILLE,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,691
BENTLEYVILLE,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,23
BENTLEYVILLE,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,12
BENTLEYVILLE,2024,UNITED STATES SENATOR,CST,MARTY SELKER,6
BENTLEYVILLE,2024,UNITED STATES SENATOR,Write-In,Scattered,1
BENTLEYVILLE,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,429
BENTLEYVILLE,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,672
BENTLEYVILLE,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,28
BENTLEYVILLE,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,10
BENTLEYVILLE,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,6
BENTLEYVILLE,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,5
BENTLEYVILLE,2024,ATTORNEY GENERAL,Write-In,Scattered,1
BENTLEYVILLE,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,412
BENTLEYVILLE,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,679
BENTLEYVILLE,2024,AUDITOR GENERAL,LIB,REECE SMITH,30
BENTLEYVILLE,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,3
BENTLEYVILLE,2024,AUDITOR GENERAL,CST,BOB GOODRICH,14
BENTLEYVILLE,2024,AUDITOR GENERAL,Write-In,Scattered,1
BENTLEYVILLE,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,411
BENTLEYVILLE,2024,STATE TREASURER,Rep,STACY GARRITY,690
BENTLEYVILLE,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,25
BENTLEYVILLE,2024,STATE TREASURER,CST,TROY BOWMAN,14
BENTLEYVILLE,2024,STATE TREASURER,FWD,CHRIS FOSTER,2
BENTLEYVILLE,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,435
BENTLEYVILLE,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,677
BLAINE,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,84
BLAINE,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,262
BLAINE,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,96
BLAINE,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,235
BLAINE,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,88
BLAINE,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,238
BLAINE,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,77
BLAINE,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,243
BLAINE,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,83
BLAINE,2024,STATE TREASURER,Rep,STACY GARRITY,248
BLAINE,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,86
BLAINE,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,248
BLAINE,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,Dem,ASHLEE CAUL,71
BLAINE,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,Rep,JOSHUA D KAIL,213
BUFFALO,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,278
BUFFALO,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,882
BUFFALO,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,5
BUFFALO,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,1
BUFFALO,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,294
BUFFALO,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,841
BUFFALO,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,17
BUFFALO,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,3
BUFFALO,2024,UNITED STATES SENATOR,CST,MARTY SELKER,4
BUFFALO,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,297
BUFFALO,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,812
BUFFALO,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,16
BUFFALO,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,6
BUFFALO,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,9
BUFFALO,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,2
BUFFALO,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,253
BUFFALO,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,842
BUFFALO,2024,AUDITOR GENERAL,LIB,REECE SMITH,22
BUFFALO,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,6
BUFFALO,2024,AUDITOR GENERAL,CST,BOB GOODRICH,10
BUFFALO,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,259
BUFFALO,2024,STATE TREASURER,Rep,STACY GARRITY,841
BUFFALO,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,16
BUFFALO,2024,STATE TREASURER,CST,TROY BOWMAN,13
BUFFALO,2024,STATE TREASURER,FWD,CHRIS FOSTER,6
BUFFALO,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,277
BUFFALO,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,843
BUFFALO,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,Dem,ASHLEE CAUL,236
BUFFALO,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,Rep,JOSHUA D KAIL,751
BURGETTSTOWN,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,293
BURGETTSTOWN,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,447
BURGETTSTOWN,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,4
BURGETTSTOWN,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,1
BURGETTSTOWN,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,303
BURGETTSTOWN,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,401
BURGETTSTOWN,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,11
BURGETTSTOWN,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,10
BURGETTSTOWN,2024,UNITED STATES SENATOR,CST,MARTY SELKER,5
BURGETTSTOWN,2024,UNITED STATES SENATOR,Write-In,Scattered,1
BURGETTSTOWN,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,300
BURGETTSTOWN,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,397
BURGETTSTOWN,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,9
BURGETTSTOWN,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,6
BURGETTSTOWN,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,4
BURGETTSTOWN,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
BURGETTSTOWN,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,286
BURGETTSTOWN,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,402
BURGETTSTOWN,2024,AUDITOR GENERAL,LIB,REECE SMITH,9
BURGETTSTOWN,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,6
BURGETTSTOWN,2024,AUDITOR GENERAL,CST,BOB GOODRICH,13
BURGETTSTOWN,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,281
BURGETTSTOWN,2024,STATE TREASURER,Rep,STACY GARRITY,403
BURGETTSTOWN,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,11
BURGETTSTOWN,2024,STATE TREASURER,CST,TROY BOWMAN,10
BURGETTSTOWN,2024,STATE TREASURER,FWD,CHRIS FOSTER,7
BURGETTSTOWN,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,291
BURGETTSTOWN,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,419
BURGETTSTOWN,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,Dem,ASHLEE CAUL,240
BURGETTSTOWN,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 15TH DISTRICT,Rep,JOSHUA D KAIL,374
CALIFORNIA 1,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,165
CALIFORNIA 1,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,145
CALIFORNIA 1,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,2
CALIFORNIA 1,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,1
CALIFORNIA 1,2024,PRESIDENTIAL ELECTORS,Write-In,Scattered,1
CALIFORNIA 1,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,168
CALIFORNIA 1,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,128
CALIFORNIA 1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,7
CALIFORNIA 1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,2
CALIFORNIA 1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
CALIFORNIA 1,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,164
CALIFORNIA 1,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,125
CALIFORNIA 1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,7
CALIFORNIA 1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,4
CALIFORNIA 1,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,5
CALIFORNIA 1,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
CALIFORNIA 1,2024,AUDITOR GENERAL,Dem,MALCOLM KENYATTA,163
CALIFORNIA 1,2024,AUDITOR GENERAL,Rep,TIM DEFOOR,118
CALIFORNIA 1,2024,AUDITOR GENERAL,LIB,REECE SMITH,8
CALIFORNIA 1,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,3
CALIFORNIA 1,2024,AUDITOR GENERAL,CST,BOB GOODRICH,5
CALIFORNIA 1,2024,STATE TREASURER,Dem,ERIN MCCLELLAND,161
CALIFORNIA 1,2024,STATE TREASURER,Rep,STACY GARRITY,125
CALIFORNIA 1,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,9
CALIFORNIA 1,2024,STATE TREASURER,CST,TROY BOWMAN,0
CALIFORNIA 1,2024,STATE TREASURER,FWD,CHRIS FOSTER,6
CALIFORNIA 1,2024,REPRESENTATIVE IN CONGRESS,Dem,CHRIS DZIADOS,163
CALIFORNIA 1,2024,REPRESENTATIVE IN CONGRESS,Rep,GUY RESCHENTHALER,129
CALIFORNIA 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 50TH DISTRICT,Dem,DREW ROSS MANKO,133
CALIFORNIA 1,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 50TH DISTRICT,Rep,BUD COOK,133
CALIFORNIA 2,2024,PRESIDENTIAL ELECTORS,Dem,KAMALA D HARRIS,217
CALIFORNIA 2,2024,PRESIDENTIAL ELECTORS,Rep,DONALD J TRUMP,228
CALIFORNIA 2,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,4
CALIFORNIA 2,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,0
CALIFORNIA 2,2024,PRESIDENTIAL ELECTORS,Write-In,Write-In: Scattered,2
CALIFORNIA 2,2024,UNITED STATES SENATOR,Dem,ROBERT P CASEY JR,208
CALIFORNIA 2,2024,UNITED STATES SENATOR,Rep,DAVE MCCORMICK,214
CALIFORNIA 2,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,10
CALIFORNIA 2,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,9
CALIFORNIA 2,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
CALIFORNIA 2,2024,ATTORNEY GENERAL,Dem,EUGENE DEPASQUALE,215
CALIFORNIA 2,2024,ATTORNEY GENERAL,Rep,DAVE SUNDAY,199
CALIFORNIA 2,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,16
CALIFORNIA 2,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,7
CALIFORNIA 2,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,2
CALIFORNIA 2,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,0
CALIFORNIA 2,2024,AUDITOR GENERAL,Democratic,Malcolm Kenyatta,210
CALIFORNIA 2,2024,AUDITOR GENERAL,Republican,Tim DeFoor,201
CALIFORNIA 2,2024,AUDITOR GENERAL,Libertarian,Reece Smith,14
CALIFORNIA 2,2024,AUDITOR GENERAL,ASP,Eric K Anton,3
CALIFORNIA 2,2024,AUDITOR GENERAL,CST,Bob Goodrich,5
CALIFORNIA 2,2024,STATE TREASURER,Democratic,Erin McClelland,212
CALIFORNIA 2,2024,STATE TREASURER,Republican,Stacy Garrity,205
CALIFORNIA 2,2024,STATE TREASURER,Libertarian,Nickolas Ciesielski,12
CALIFORNIA 2,2024,STATE TREASURER,CST,Troy Bowman,5
CALIFORNIA 2,2024,STATE TREASURER,FWD,Chris Foster,1
CALIFORNIA 2,2024,REPRESENTATIVE IN CONGRESS,Democratic,Chris Dziados,215
