precinct,year,race,party,candidate,votes
Carroll Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1497
Chanceford Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,353
Chanceford Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,91
Chanceford Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,180
Codorus Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,175
Codorus Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,210
Codorus Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,245
Conewago Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1111
Conewago Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,573
Dover Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1316
Dover Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1212
Dover Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,738
Dover Township 4,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,848
East Hopewell Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,359
East Manchester Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1808
Fairview Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,730
Fairview Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1143
Fairview Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1728
Fairview Township 4,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,730
Fawn Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,302
Franklin Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,806
Heidelberg Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,463
Hellam Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,488
Hellam Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,645
Hopewell Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1179
Jackson Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,730
Jackson Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,829
Lower Chanceford Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,117
Lower Chanceford Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,136
Lower Windsor Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,188
Lower Windsor Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,466
Lower Windsor Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,492
Manchester Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,410
Manchester Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,651
Manchester Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,885
Manchester Township 4,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,592
Manchester Township 5,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,872
Manchester Township 6,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,858
Manchester Township 7,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,689
Manheim Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,489
Monaghan Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,596
Newberry Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1100
Newberry Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,629
Newberry Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,966
North Codorus Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1006
North Codorus Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,475
North Hopewell Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,346
Paradise Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,541
Peach Bottom Township,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,538
Penn Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,763
Penn Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,887
Penn Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,517
Penn Township 4,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,977
Shrewsbury Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,474
Shrewsbury Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1067
Springettsbury Township 1,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,510
Springettsbury Township 2,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1066
Springettsbury Township 3,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1379
Springettsbury Township 4,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,1146
Springettsbury Township 5,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,448
Springettsbury Township 6,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,523
Springettsbury Township 7,2024,Presidential Electors 4 Year Term,DEM,Kamala D. Harris,649
