precinct,year,race,party,candidate,votes,VTDST20
Abbottstown,2024,Presidential Electors,DEM,HARRIS and WALZ,150,000010
Abbottstown,2024,Presidential Electors,REP,TRUMP and VANCE,350,000010
Abbottstown,2024,Presidential Electors,LIB,OLIVER and TER MAAT,4,000010
Abbottstown,2024,Presidential Electors,GNP,STEIN and WARE,3,000010
Abbottstown,2024,United States Senator,DEM,ROBERT P CASEY JR,149,000010
Abbottstown,2024,United States Senator,REP,DAVE MCCORMICK,329,000010
Abbottstown,2024,United States Senator,LIB,JOHN C THOMAS,13,000010
Abbottstown,2024,United States Senator,GNP,LEILA HAZOU,9,000010
Abbottstown,2024,United States Senator,CST,MARTY SELKER,3,000010
Abbottstown,2024,Attorney General,DEM,EUGENE DEPASQUALE,135,000010
Abbottstown,2024,Attorney General,REP,DAVE SUNDAY,348,000010
Abbottstown,2024,Attorney General,LIB,ROBERT COWBURN,13,000010
Abbottstown,2024,Attorney General,GNP,RICHARD L WEISS,3,000010
Abbottstown,2024,Attorney General,CST,JUSTIN L MAGILL,2,000010
Abbottstown,2024,Attorney General,FWD,ERIC L SETTLE,1,000010
Abbottstown,2024,Auditor General,DEM,MALCOLM KENYATTA,130,000010
Abbottstown,2024,Auditor General,REP,TIM DEFOOR,343,000010
Abbottstown,2024,Auditor General,LIB,REECE SMITH,17,000010
Abbottstown,2024,Auditor General,ASP,ERIC K ANTON,1,000010
Abbottstown,2024,Auditor General,CST,BOB GOODRICH,8,000010
Abbottstown,2024,State Treasurer,DEM,ERIN MCCLELLAND,123,000010
Abbottstown,2024,State Treasurer,REP,STACY GARRITY,344,000010
Abbottstown,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,14,000010
Abbottstown,2024,State Treasurer,CST,TROY BOWMAN,6,000010
Abbottstown,2024,State Treasurer,FWD,CHRIS FOSTER,5,000010
Abbottstown,2024,Representative in Congress,DEM,BETH FARNHAM,149,000010
Abbottstown,2024,Representative in Congress,REP,JOHN JOYCE,352,000010
Abbottstown,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,151,000010
Abbottstown,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,345,000010
Abbottstown,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,417,000010
Arendtsville,2024,Presidential Electors,DEM,HARRIS and WALZ,164,000020
Arendtsville,2024,Presidential Electors,REP,TRUMP and VANCE,273,000020
Arendtsville,2024,Presidential Electors,LIB,OLIVER and TER MAAT,1,000020
Arendtsville,2024,Presidential Electors,GNP,STEIN and WARE,1,000020
Arendtsville,2024,United States Senator,DEM,ROBERT P CASEY JR,165,000020
Arendtsville,2024,United States Senator,REP,DAVE MCCORMICK,265,000020
Arendtsville,2024,United States Senator,LIB,JOHN C THOMAS,4,000020
Arendtsville,2024,United States Senator,GNP,LEILA HAZOU,3,000020
Arendtsville,2024,United States Senator,CST,MARTY SELKER,2,000020
Arendtsville,2024,Attorney General,DEM,EUGENE DEPASQUALE,149,000020
Arendtsville,2024,Attorney General,REP,DAVE SUNDAY,272,000020
Arendtsville,2024,Attorney General,LIB,ROBERT COWBURN,4,000020
Arendtsville,2024,Attorney General,GNP,RICHARD L WEISS,3,000020
Arendtsville,2024,Attorney General,CST,JUSTIN L MAGILL,7,000020
Arendtsville,2024,Attorney General,FWD,ERIC L SETTLE,3,000020
Arendtsville,2024,Auditor General,DEM,MALCOLM KENYATTA,141,000020
Arendtsville,2024,Auditor General,REP,TIM DEFOOR,277,000020
Arendtsville,2024,Auditor General,LIB,REECE SMITH,11,000020
Arendtsville,2024,Auditor General,ASP,ERIC K ANTON,2,000020
Arendtsville,2024,Auditor General,CST,BOB GOODRICH,4,000020
Arendtsville,2024,State Treasurer,DEM,ERIN MCCLELLAND,136,000020
Arendtsville,2024,State Treasurer,REP,STACY GARRITY,285,000020
Arendtsville,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,3,000020
Arendtsville,2024,State Treasurer,CST,TROY BOWMAN,7,000020
Arendtsville,2024,State Treasurer,FWD,CHRIS FOSTER,1,000020
Arendtsville,2024,Representative in Congress,DEM,BETH FARNHAM,148,000020
Arendtsville,2024,Representative in Congress,REP,JOHN JOYCE,287,000020
Arendtsville,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,158,000020
Arendtsville,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,275,000020
Arendtsville,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,349,000020
Bendersville,2024,Presidential Electors,DEM,HARRIS and WALZ,97,000030
Bendersville,2024,Presidential Electors,REP,TRUMP and VANCE,197,000030
Bendersville,2024,Presidential Electors,LIB,OLIVER and TER MAAT,1,000030
Bendersville,2024,Presidential Electors,GNP,STEIN and WARE,3,000030
Bendersville,2024,United States Senator,DEM,ROBERT P CASEY JR,103,000030
Bendersville,2024,United States Senator,REP,DAVE MCCORMICK,185,000030
Bendersville,2024,United States Senator,LIB,JOHN C THOMAS,6,000030
Bendersville,2024,United States Senator,GNP,LEILA HAZOU,3,000030
Bendersville,2024,United States Senator,CST,MARTY SELKER,2,000030
Bendersville,2024,Attorney General,DEM,EUGENE DEPASQUALE,91,000030
Bendersville,2024,Attorney General,REP,DAVE SUNDAY,204,000030
Bendersville,2024,Attorney General,LIB,ROBERT COWBURN,4,000030
Bendersville,2024,Attorney General,GNP,RICHARD L WEISS,1,000030
Bendersville,2024,Auditor General,DEM,MALCOLM KENYATTA,89,000030
Bendersville,2024,Auditor General,REP,TIM DEFOOR,197,000030
Bendersville,2024,Auditor General,LIB,REECE SMITH,8,000030
Bendersville,2024,Auditor General,ASP,ERIC K ANTON,1,000030
Bendersville,2024,Auditor General,CST,BOB GOODRICH,5,000030
Bendersville,2024,State Treasurer,DEM,ERIN MCCLELLAND,87,000030
Bendersville,2024,State Treasurer,REP,STACY GARRITY,201,000030
Bendersville,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,6,000030
Bendersville,2024,State Treasurer,CST,TROY BOWMAN,2,000030
Bendersville,2024,State Treasurer,FWD,CHRIS FOSTER,1,000030
Bendersville,2024,Representative in Congress,DEM,BETH FARNHAM,95,000030
Bendersville,2024,Representative in Congress,REP,JOHN JOYCE,204,000030
Bendersville,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,102,000030
Bendersville,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,197,000030
Bendersville,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,251,000030
Berwick,2024,Presidential Electors,DEM,HARRIS and WALZ,425,000040
Berwick,2024,Presidential Electors,REP,TRUMP and VANCE,1086,000040
Berwick,2024,Presidential Electors,LIB,OLIVER and TER MAAT,7,000040
Berwick,2024,Presidential Electors,GNP,STEIN and WARE,3,000040
Berwick,2024,United States Senator,DEM,ROBERT P CASEY JR,416,000040
Berwick,2024,United States Senator,REP,DAVE MCCORMICK,1039,000040
Berwick,2024,United States Senator,LIB,JOHN C THOMAS,30,000040
Berwick,2024,United States Senator,GNP,LEILA HAZOU,12,000040
Berwick,2024,United States Senator,CST,MARTY SELKER,5,000040
Berwick,2024,Attorney General,DEM,EUGENE DEPASQUALE,400,000040
Berwick,2024,Attorney General,REP,DAVE SUNDAY,1056,000040
Berwick,2024,Attorney General,LIB,ROBERT COWBURN,20,000040
Berwick,2024,Attorney General,GNP,RICHARD L WEISS,12,000040
Berwick,2024,Attorney General,CST,JUSTIN L MAGILL,7,000040
Berwick,2024,Attorney General,FWD,ERIC L SETTLE,2,000040
Berwick,2024,Auditor General,DEM,MALCOLM KENYATTA,374,000040
Berwick,2024,Auditor General,REP,TIM DEFOOR,1045,000040
Berwick,2024,Auditor General,LIB,REECE SMITH,36,000040
Berwick,2024,Auditor General,ASP,ERIC K ANTON,3,000040
Berwick,2024,Auditor General,CST,BOB GOODRICH,20,000040
Berwick,2024,State Treasurer,DEM,ERIN MCCLELLAND,368,000040
Berwick,2024,State Treasurer,REP,STACY GARRITY,1053,000040
Berwick,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,19,000040
Berwick,2024,State Treasurer,CST,TROY BOWMAN,17,000040
Berwick,2024,State Treasurer,FWD,CHRIS FOSTER,8,000040
Berwick,2024,Representative in Congress,DEM,BETH FARNHAM,409,000040
Berwick,2024,Representative in Congress,REP,JOHN JOYCE,1086,000040
Berwick,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,431,000040
Berwick,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,1054,000040
Berwick,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,1230,000040
Biglerville,2024,Presidential Electors,DEM,HARRIS and WALZ,198,000050
Biglerville,2024,Presidential Electors,REP,TRUMP and VANCE,356,000050
Biglerville,2024,Presidential Electors,LIB,OLIVER and TER MAAT,6,000050
Biglerville,2024,Presidential Electors,GNP,STEIN and WARE,1,000050
Biglerville,2024,United States Senator,DEM,ROBERT P CASEY JR,200,000050
Biglerville,2024,United States Senator,REP,DAVE MCCORMICK,339,000050
Biglerville,2024,United States Senator,LIB,JOHN C THOMAS,12,000050
Biglerville,2024,United States Senator,GNP,LEILA HAZOU,3,000050
Biglerville,2024,United States Senator,CST,MARTY SELKER,6,000050
Biglerville,2024,Attorney General,DEM,EUGENE DEPASQUALE,180,000050
Biglerville,2024,Attorney General,REP,DAVE SUNDAY,357,000050
Biglerville,2024,Attorney General,LIB,ROBERT COWBURN,11,000050
Biglerville,2024,Attorney General,GNP,RICHARD L WEISS,6,000050
Biglerville,2024,Attorney General,CST,JUSTIN L MAGILL,4,000050
Biglerville,2024,Attorney General,FWD,ERIC L SETTLE,4,000050
Biglerville,2024,Auditor General,DEM,MALCOLM KENYATTA,173,000050
Biglerville,2024,Auditor General,REP,TIM DEFOOR,369,000050
Biglerville,2024,Auditor General,LIB,REECE SMITH,12,000050
Biglerville,2024,Auditor General,ASP,ERIC K ANTON,1,000050
Biglerville,2024,Auditor General,CST,BOB GOODRICH,3,000050
Biglerville,2024,State Treasurer,DEM,ERIN MCCLELLAND,173,000050
Biglerville,2024,State Treasurer,REP,STACY GARRITY,363,000050
Biglerville,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,12,000050
Biglerville,2024,State Treasurer,CST,TROY BOWMAN,3,000050
Biglerville,2024,State Treasurer,FWD,CHRIS FOSTER,3,000050
Biglerville,2024,Representative in Congress,DEM,BETH FARNHAM,190,000050
Biglerville,2024,Representative in Congress,REP,JOHN JOYCE,366,000050
Biglerville,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,205,000050
Biglerville,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,348,000050
Biglerville,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,451,000050
Bonneauville,2024,Presidential Electors,DEM,HARRIS and WALZ,262,000060
Bonneauville,2024,Presidential Electors,REP,TRUMP and VANCE,613,000060
Bonneauville,2024,Presidential Electors,LIB,OLIVER and TER MAAT,7,000060
Bonneauville,2024,Presidential Electors,GNP,STEIN and WARE,1,000060
Bonneauville,2024,United States Senator,DEM,ROBERT P CASEY JR,276,000060
Bonneauville,2024,United States Senator,REP,DAVE MCCORMICK,570,000060
Bonneauville,2024,United States Senator,LIB,JOHN C THOMAS,20,000060
Bonneauville,2024,United States Senator,GNP,LEILA HAZOU,6,000060
Bonneauville,2024,United States Senator,CST,MARTY SELKER,9,000060
Bonneauville,2024,Attorney General,DEM,EUGENE DEPASQUALE,255,000060
Bonneauville,2024,Attorney General,REP,DAVE SUNDAY,593,000060
Bonneauville,2024,Attorney General,LIB,ROBERT COWBURN,16,000060
Bonneauville,2024,Attorney General,GNP,RICHARD L WEISS,6,000060
Bonneauville,2024,Attorney General,CST,JUSTIN L MAGILL,2,000060
Bonneauville,2024,Attorney General,FWD,ERIC L SETTLE,3,000060
Bonneauville,2024,Auditor General,DEM,MALCOLM KENYATTA,241,000060
Bonneauville,2024,Auditor General,REP,TIM DEFOOR,585,000060
Bonneauville,2024,Auditor General,LIB,REECE SMITH,22,000060
Bonneauville,2024,Auditor General,ASP,ERIC K ANTON,5,000060
Bonneauville,2024,Auditor General,CST,BOB GOODRICH,9,000060
Bonneauville,2024,State Treasurer,DEM,ERIN MCCLELLAND,230,000060
Bonneauville,2024,State Treasurer,REP,STACY GARRITY,602,000060
Bonneauville,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,10,000060
Bonneauville,2024,State Treasurer,CST,TROY BOWMAN,12,000060
Bonneauville,2024,State Treasurer,FWD,CHRIS FOSTER,4,000060
Bonneauville,2024,Representative in Congress,DEM,BETH FARNHAM,258,000060
Bonneauville,2024,Representative in Congress,REP,JOHN JOYCE,612,000060
Bonneauville,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,262,000060
Bonneauville,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,609,000060
Bonneauville,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,725,000060
Butler,2024,Presidential Electors,DEM,HARRIS and WALZ,377,000070
Butler,2024,Presidential Electors,REP,TRUMP and VANCE,1066,000070
Butler,2024,Presidential Electors,LIB,OLIVER and TER MAAT,9,000070
Butler,2024,Presidential Electors,GNP,STEIN and WARE,4,000070
Butler,2024,United States Senator,DEM,ROBERT P CASEY JR,400,000070
Butler,2024,United States Senator,REP,DAVE MCCORMICK,980,000070
Butler,2024,United States Senator,LIB,JOHN C THOMAS,41,000070
Butler,2024,United States Senator,GNP,LEILA HAZOU,15,000070
Butler,2024,United States Senator,CST,MARTY SELKER,10,000070
Butler,2024,Attorney General,DEM,EUGENE DEPASQUALE,348,000070
Butler,2024,Attorney General,REP,DAVE SUNDAY,1016,000070
Butler,2024,Attorney General,LIB,ROBERT COWBURN,39,000070
Butler,2024,Attorney General,GNP,RICHARD L WEISS,20,000070
Butler,2024,Attorney General,CST,JUSTIN L MAGILL,7,000070
Butler,2024,Attorney General,FWD,ERIC L SETTLE,3,000070
Butler,2024,Auditor General,DEM,MALCOLM KENYATTA,308,000070
Butler,2024,Auditor General,REP,TIM DEFOOR,1043,000070
Butler,2024,Auditor General,LIB,REECE SMITH,48,000070
Butler,2024,Auditor General,ASP,ERIC K ANTON,6,000070
Butler,2024,Auditor General,CST,BOB GOODRICH,16,000070
Butler,2024,State Treasurer,DEM,ERIN MCCLELLAND,303,000070
Butler,2024,State Treasurer,REP,STACY GARRITY,1060,000070
Butler,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,34,000070
Butler,2024,State Treasurer,CST,TROY BOWMAN,10,000070
Butler,2024,State Treasurer,FWD,CHRIS FOSTER,7,000070
Butler,2024,Representative in Congress,DEM,BETH FARNHAM,349,000070
Butler,2024,Representative in Congress,REP,JOHN JOYCE,1078,000070
Butler,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,402,000070
Butler,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,1012,000070
Butler,2024,Representative in the General Assembly 193rd District,REP,TORREN ECKER,1227,000070
Carroll Valley 1,2024,Presidential Electors,DEM,HARRIS and WALZ,472,000078
Carroll Valley 1,2024,Presidential Electors,REP,TRUMP and VANCE,993,000078
Carroll Valley 1,2024,Presidential Electors,LIB,OLIVER and TER MAAT,10,000078
Carroll Valley 1,2024,Presidential Electors,GNP,STEIN and WARE,7,000078
Carroll Valley 1,2024,United States Senator,DEM,ROBERT P CASEY JR,462,000078
Carroll Valley 1,2024,United States Senator,REP,DAVE MCCORMICK,954,000078
Carroll Valley 1,2024,United States Senator,LIB,JOHN C THOMAS,21,000078
Carroll Valley 1,2024,United States Senator,GNP,LEILA HAZOU,13,000078
Carroll Valley 1,2024,United States Senator,CST,MARTY SELKER,15,000078
Carroll Valley 1,2024,Attorney General,DEM,EUGENE DEPASQUALE,440,000078
Carroll Valley 1,2024,Attorney General,REP,DAVE SUNDAY,968,000078
Carroll Valley 1,2024,Attorney General,LIB,ROBERT COWBURN,25,000078
Carroll Valley 1,2024,Attorney General,GNP,RICHARD L WEISS,7,000078
Carroll Valley 1,2024,Attorney General,CST,JUSTIN L MAGILL,13,000078
Carroll Valley 1,2024,Attorney General,FWD,ERIC L SETTLE,4,000078
Carroll Valley 1,2024,Auditor General,DEM,MALCOLM KENYATTA,415,000078
Carroll Valley 1,2024,Auditor General,REP,TIM DEFOOR,964,000078
Carroll Valley 1,2024,Auditor General,LIB,REECE SMITH,42,000078
Carroll Valley 1,2024,Auditor General,ASP,ERIC K ANTON,6,000078
Carroll Valley 1,2024,Auditor General,CST,BOB GOODRICH,15,000078
Carroll Valley 1,2024,State Treasurer,DEM,ERIN MCCLELLAND,412,000078
Carroll Valley 1,2024,State Treasurer,REP,STACY GARRITY,971,000078
Carroll Valley 1,2024,State Treasurer,LIB,NICKOLAS CIESIELSKI,26,000078
Carroll Valley 1,2024,State Treasurer,CST,TROY BOWMAN,16,000078
Carroll Valley 1,2024,State Treasurer,FWD,CHRIS FOSTER,6,000078
Carroll Valley 1,2024,Representative in Congress,DEM,BETH FARNHAM,448,000078
Carroll Valley 1,2024,Representative in Congress,REP,JOHN JOYCE,1013,000078
Carroll Valley 1,2024,Senator in the General Assembly,DEM,CAMERON SCHROY,476,000078
Carroll Valley 1,2024,Senator in the General Assembly,REP,DOUG MASTRIANO,975,000078
Carroll Valley 1,2024,Representative in the General Assembly 91st District,REP,DAN MOUL,1175,000078
Carroll Valley 2,2024,Presidential Electors,DEM,HARRIS and WALZ,359,000082
Carroll Valley 2,2024,Presidential Electors,REP,TRUMP and VANCE,825,000082
Carroll Valley 2,2024,Presidential Electors,LIB,OLIVER and TER MAAT,5,000082
Carroll Valley 2,2024,Presidential Electors,GNP,STEIN and WARE,6,000082
Carroll Valley 2,2024,United States Senator,DEM,ROBERT P CASEY JR,352,000082
Carroll Valley 2,2024,United States Senator,REP,DAVE MCCORMICK,797,000082
Carroll Valley 2,2024,United States Senator,LIB,JOHN C THOMAS,21,000082
Carroll Valley 2,2024,United States Senator,GNP,LEILA HAZOU,10,000082
Carroll Valley 2,2024,United States Senator,CST,MARTY SELKER,6,000082
Carroll Valley 2,2024,Attorney General,DEM,EUGENE DEPASQUALE,314,000082
Carroll Valley 2,2024,Attorney General,REP,DAVE SUNDAY,825,000082
